Treating Clinician,Number of Patients Seen,Number of Patients Seen Paracetamol,Proportion of Paracetamol ,Hospital
90000999,5,0,0%,Dandenong
90004171,3,0,0%,Dandenong
90007275,19,4,21%,Dandenong
90013900,2,0,0%,Dandenong
90015608,6,1,17%,Dandenong
90016143,6,1,17%,Dandenong
90018083,3,1,33%,Dandenong
90020817,8,3,38%,Dandenong
90022335,1,0,0%,Dandenong
90023171,1,0,0%,Dandenong
90024223,9,1,11%,Dandenong
90028087,2,0,0%,Dandenong
90028254,6,0,0%,Dandenong
90029255,7,1,14%,Dandenong
90033661,4,2,50%,Dandenong
90033774,4,1,25%,Dandenong
90039000,5,1,20%,Dandenong
90039551,2,0,0%,Dandenong
90044868,5,2,40%,Dandenong
90051275,2,1,50%,Dandenong
90052916,9,3,33%,Dandenong
90053104,3,1,33%,Dandenong
90053418,2,0,0%,Dandenong
90053715,1,0,0%,Dandenong
90054690,8,2,25%,Dandenong
90055388,2,1,50%,Dandenong
90056621,12,3,25%,Dandenong
90059584,3,0,0%,Dandenong
90060945,11,0,0%,Dandenong
90060950,1,0,0%,Dandenong
90068451,4,1,25%,Dandenong
90071662,2,0,0%,Dandenong
90072373,14,3,21%,Dandenong
90074642,1,0,0%,Dandenong
90075767,10,2,20%,Dandenong
90076316,5,2,40%,Dandenong
90077401,3,1,33%,Dandenong
90078140,7,1,14%,Dandenong
90080314,2,0,0%,Dandenong
90081957,2,0,0%,Dandenong
90082317,5,1,20%,Dandenong
90082515,13,0,0%,Dandenong
90082724,1,0,0%,Dandenong
90083180,4,1,25%,Dandenong
90085012,1,0,0%,Dandenong
90088199,4,1,25%,Dandenong
90090296,25,6,24%,Dandenong
90091034,5,1,20%,Dandenong
90097823,7,1,14%,Dandenong
90098405,1,0,0%,Dandenong
90099752,6,2,33%,Dandenong
90100582,16,2,13%,Dandenong
90102895,17,3,18%,Dandenong
90104011,10,2,20%,Dandenong
90107017,3,1,33%,Dandenong
90109179,3,0,0%,Dandenong
90111258,8,0,0%,Dandenong
90113108,6,1,17%,Dandenong
90116155,5,1,20%,Dandenong
90117588,17,3,18%,Dandenong
90117635,3,1,33%,Dandenong
90119011,1,0,0%,Dandenong
90119742,6,0,0%,Dandenong
90119988,5,2,40%,Dandenong
90123243,2,2,100%,Dandenong
90123255,7,2,29%,Dandenong
90123274,8,2,25%,Dandenong
90123339,2,1,50%,Dandenong
90124202,10,1,10%,Dandenong
90124438,3,1,33%,Dandenong
90124439,6,1,17%,Dandenong
90124445,1,0,0%,Dandenong
90124446,8,1,13%,Dandenong
90124447,10,1,10%,Dandenong
90124449,12,1,8%,Dandenong
90124517,9,3,33%,Dandenong
90124561,6,2,33%,Dandenong
90124570,2,0,0%,Dandenong
90141583,1,0,0%,Dandenong
90142824,1,0,0%,Dandenong
90145323,5,1,20%,Dandenong
90146286,2,0,0%,Dandenong
90148374,1,0,0%,Dandenong
90153189,5,1,20%,Dandenong
90000541,4,0,0%,Casey
90000999,5,0,0%,Casey
90002776,7,0,0%,Casey
