Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90000541,Casey,3,0,0,3.004652232,0.008078065,0.00488937
90000541,MMC- Clayton,2,0,0,2.004649186,0.004459499,0.001178807
90000926,Casey,3,0,0,3.005767841,0.0055164,0.001245068
90000999,Casey,1,0,0,1.007314809,0.000106562,0.008083271
90001224,MMC- Clayton,28,0,0,28.00194796,0.008647656,0.009001725
90001660,Casey,2,0,0,2.000804931,0.003465854,0.002800522
90002178,MMC- Clayton,1,0,0,1.006490757,0.003701243,0.009289697
90002772,Dandenong,6,0,0,6.007407947,0.00691983,0.008664558
90002776,Casey,7,0,0,7.004836287,-0.000244419,0.006477726
90002776,MMC- Clayton,2,0,0,2.005543199,0.001782139,0.007765116
90003149,Casey,2,0,0,2.004365064,-0.000267526,0.008011552
90003195,Casey,2,0,0,2.00382897,0.003627396,0.006578442
90003244,Casey,4,0,0,4.006098091,0.000424386,0.004888461
90003263,MMC- Clayton,1,0,0,1.006241551,0.005361262,0.007339035
90003309,Casey,1,0,0,1.005662726,0.00579405,0.006138749
90003338,MMC- Clayton,1,0,0,1.008412238,0.00180911,0.004886052
90003440,MMC- Clayton,2,0,0,2.002147331,8.03592E-05,0.000337779
90003645,MMC- Clayton,4,2,50,4.006051386,2.009158522,50.00339676
90003721,MMC- Clayton,4,0,0,4.003285294,0.002685422,0.005888191
90003723,MMC- Clayton,1,0,0,1.008239656,0.003864448,0.002340289
90003827,MMC- Clayton,4,0,0,4.00743733,0.003183971,0.007021057
90003932,MMC- Clayton,1,0,0,0.999580235,0.007133973,0.007427409
90003943,Dandenong,2,0,0,2.001844629,0.008484266,0.002943392
90004008,MMC- Clayton,2,0,0,2.004775399,0.005225685,0.004771232
90004171,MMC- Clayton,2,0,0,1.999621596,-0.00042424,0.000253844
90004178,Casey,1,0,0,1.000284238,0.002937528,0.008901748
90004253,MMC- Clayton,1,0,0,1.000156612,0.003555434,0.000994976
90004289,Dandenong,1,0,0,1.004908286,0.000135694,0.007428902
90004510,MMC- Clayton,1,0,0,1.001327963,0.001490189,0.008705193
90004628,MMC- Clayton,2,0,0,2.000623481,0.00316784,0.009090559
90004908,MMC- Clayton,1,0,0,0.999751582,0.00835904,0.003898245
90005005,MMC- Clayton,5,0,0,5.000758164,0.00125377,0.007529624
90005028,Casey,1,0,0,0.999524021,0.001642533,0.005057693
90005035,Dandenong,2,0,0,2.001322712,0.003630312,0.001669575
90005109,Casey,5,0,0,5.0042907,0.007103954,0.003733168
90005353,Casey,1,0,0,0.999506703,0.005918109,0.001271345
90005369,Casey,7,0,0,7.005916021,0.005072106,0.000583769
90005703,MMC- Clayton,1,0,0,1.006478903,0.007392005,0.005914356
90006510,MMC- Clayton,3,0,0,3.008011022,0.007946868,0.005012788
90007275,Casey,4,0,0,4.00760361,0.007517309,0.00874613
90007275,Dandenong,9,0,0,9.004930211,0.001141977,0.001067009
90007788,Casey,1,0,0,1.006029681,0.004994435,0.00122894
90008018,Casey,9,0,0,9.007115608,0.00149891,-0.000364148
90008396,MMC- Clayton,10,0,0,10.00343801,0.000482564,0.00879584
90008672,Dandenong,8,2,25,8.003490283,2.008293348,25.00246947
90009738,MMC- Clayton,5,0,0,5.001630341,0.004901982,0.009216272
90010158,MMC- Clayton,8,0,0,8.006840277,0.004165836,0.002141438
90010636,MMC- Clayton,22,0,0,22.0091736,0.003647288,0.001143741
90010720,MMC- Clayton,2,0,0,2.004446469,0.000715173,0.001592725
90011578,Casey,15,1,6,15.00847697,1.008782589,6.008013201
90013598,MMC- Clayton,2,0,0,2.004944265,0.005824962,0.002625222
90013837,MMC- Clayton,28,1,3,28.00885209,1.005177156,3.004605169
90013900,Casey,5,0,0,5.006805841,0.000601696,0.0040016
90013900,Dandenong,1,0,0,1.002936752,0.006157024,0.008053166
90014727,Casey,2,0,0,2.003242341,0.00146753,0.008772499
90014902,MMC- Clayton,20,0,0,20.00198877,0.002982053,0.003649993
90015608,Casey,1,0,0,1.005242765,0.009382308,0.004745256
90015608,Dandenong,6,0,0,6.006120593,6.83635E-05,0.00217305
90015608,MMC- Clayton,20,0,0,20.00184433,0.005755773,0.002710099
90015746,Dandenong,1,0,0,1.001227451,0.005109775,0.007389031
90015901,MMC- Clayton,2,0,0,2.00686428,0.000227006,0.007523254
90016143,Dandenong,1,0,0,1.009026379,0.000277957,0.000550443
90018068,Casey,5,0,0,5.001206008,0.004046648,0.007544191
90018068,MMC- Clayton,2,0,0,2.008440883,0.00207498,0.001859963
90018863,Casey,13,1,7,13.0064035,1.000282534,7.00754352
90018863,MMC- Clayton,4,0,0,4.003931757,0.000969861,0.006889148
90019764,MMC- Clayton,5,0,0,5.00891494,0.00541458,0.006488352
90020817,Dandenong,8,0,0,8.005654946,0.001855019,0.006072392
90020817,MMC- Clayton,3,0,0,3.008741005,0.002878265,0.002561712
90021003,Dandenong,4,0,0,4.005747997,0.005036151,7.72048E-05
90022682,MMC- Clayton,3,0,0,3.00070156,0.009280907,0.00919783
90023171,MMC- Clayton,19,0,0,19.00407359,0.000976099,0.009187158
90024040,MMC- Clayton,14,0,0,14.00174373,0.004366362,0.007230041
90024223,Casey,4,0,0,4.007783292,0.002984454,0.003987112
90024223,Dandenong,1,0,0,1.00630803,0.008465984,0.002682724
90024223,MMC- Clayton,4,0,0,4.001913002,0.005908427,-0.00025749
90024320,MMC- Clayton,15,0,0,15.00451486,0.000600748,0.009302245
90024716,Casey,1,0,0,1.005869501,0.006001146,0.007504504
90025727,Dandenong,3,0,0,3.002905393,0.003232378,0.004861489
90026166,MMC- Clayton,38,0,0,38.00378301,0.001370048,0.007747306
90027194,Casey,1,0,0,1.002195377,0.007112326,0.006977692
90028087,Casey,1,0,0,1.003629962,0.008448517,0.00716819
90028254,Dandenong,6,0,0,6.002834989,0.004577033,0.008420065
90028254,MMC- Clayton,21,1,4,21.00564064,1.001150244,4.000796401
90029255,Casey,1,0,0,1.004629155,0.004511524,0.007913805
90029255,Dandenong,7,0,0,7.00601476,0.006166955,0.00148817
90029388,Dandenong,3,0,0,3.003068076,0.001322431,0.005753044
90030535,MMC- Clayton,12,0,0,12.00063321,0.005568679,0.007274061
90031199,Casey,3,0,0,3.001204753,0.00543986,0.002520994
90031311,MMC- Clayton,4,0,0,4.001663456,0.006212777,0.005157356
90031341,MMC- Clayton,4,0,0,4.006702277,-0.000330284,0.009131677
90032676,Casey,6,0,0,6.000337827,0.000954666,0.005209182
90032705,MMC- Clayton,2,0,0,2.009196476,0.002830377,0.008820557
90032929,MMC- Clayton,5,0,0,5.00931264,0.000138217,0.004524725
90033661,Casey,3,0,0,3.002206195,0.005571111,0.0037815
90033661,Dandenong,4,0,0,4.002494111,4.92951E-06,0.000744835
90033661,MMC- Clayton,15,0,0,15.00493234,0.008835545,7.83337E-05
90033774,Dandenong,3,0,0,3.00621021,0.004799027,-0.000389125
90033774,MMC- Clayton,26,1,3,26.00055345,1.000937924,3.007946029
90033803,MMC- Clayton,9,0,0,9.002107229,0.004922199,0.007869132
90034135,MMC- Clayton,6,0,0,6.004658241,0.007250231,0.006890472
90034329,Dandenong,2,0,0,2.003526072,0.003388845,0.008936105
90034785,Casey,7,0,0,7.004680509,0.001960466,0.007872433
90034958,Casey,1,0,0,1.004380445,0.001653,0.00234266
90035140,Casey,1,0,0,1.003124353,0.004445774,0.002453936
90035880,Dandenong,1,0,0,1.000264573,0.008466862,0.002201326
90036519,MMC- Clayton,1,0,0,1.007144929,0.004528056,0.004348008
90037802,MMC- Clayton,4,0,0,4.00700681,0.0051024,0.0079697
90037850,Dandenong,2,0,0,2.004244108,0.009312484,0.008241819
90038386,Casey,5,0,0,5.002868481,0.002182918,0.005774377
90039000,Casey,7,0,0,7.005939732,0.004884132,0.007282944
90039000,Dandenong,2,0,0,2.007427294,-0.000257058,0.009233291
90039551,Casey,9,0,0,9.003645618,0.002697107,0.006388206
90039551,Dandenong,1,0,0,1.005875466,0.000768103,0.000899278
90039776,Casey,2,0,0,2.001121606,0.006586121,0.008627013
90040184,Dandenong,1,0,0,1.000747969,0.000778044,0.005534045
90040371,MMC- Clayton,3,0,0,3.007345304,0.007531075,0.008252415
90040773,Dandenong,4,0,0,4.007547806,0.004634283,0.00529106
90040881,Casey,6,0,0,6.001133106,0.004829617,0.003627695
90041374,Casey,1,0,0,1.004019181,0.0037079,0.008045354
90043227,MMC- Clayton,8,0,0,8.000305565,0.001634932,0.004557904
90043338,MMC- Clayton,8,0,0,8.001120526,0.005088107,0.00739884
90043759,Casey,6,2,33,6.002052879,2.000685575,33.00332466
90043890,Dandenong,1,0,0,1.008034841,0.009340717,0.002854222
90044135,Casey,14,0,0,14.00513397,0.004147442,0.004651457
90044868,Casey,8,0,0,8.002905249,0.006889589,0.003622914
90044868,Dandenong,2,0,0,2.006072477,0.001457166,0.002000261
90045378,MMC- Clayton,2,0,0,2.002563501,0.002443853,0.007318824
90046308,Casey,10,0,0,10.00272639,0.002590915,0.002140462
90046416,Casey,9,0,0,9.008199554,0.005545308,0.003938281
90047010,Dandenong,1,0,0,1.001259767,0.003579263,0.006856218
90047064,MMC- Clayton,1,0,0,1.002831558,0.004718812,0.002250969
90047604,Casey,2,0,0,2.005986067,0.005006912,0.006881305
90047937,Dandenong,1,0,0,1.000355662,-8.187E-05,0.003449921
90048709,Casey,4,0,0,4.007252884,0.001237257,0.000869942
90048747,MMC- Clayton,3,0,0,3.005807648,0.00731512,-0.000138833
90049188,Dandenong,8,0,0,8.001257333,0.001830077,0.006606905
90051139,Dandenong,9,0,0,8.999734197,0.004370749,0.003567018
90051548,MMC- Clayton,8,0,0,8.002588268,0.000244942,0.003657253
90052261,MMC- Clayton,4,0,0,4.007009131,0.004539864,-0.000406257
90052270,MMC- Clayton,15,2,13,15.00639802,2.001717475,13.00526996
90052753,Casey,2,0,0,2.000822129,0.000503553,-2.44222E-05
90052916,Dandenong,9,0,0,9.002770764,0.000425215,-0.000359311
90052916,MMC- Clayton,6,0,0,6.00317639,0.00159625,0.002839957
90053104,Dandenong,3,0,0,3.005277913,0.000704856,0.004757425
90053409,Casey,9,0,0,8.999692486,0.007370679,0.001767806
90053418,Casey,1,0,0,1.008319746,0.006133207,-0.000327909
90053418,Dandenong,1,0,0,1.000383092,0.007642162,0.007705145
90053715,Casey,8,0,0,8.008404475,0.003621557,0.0083011
90053753,MMC- Clayton,2,0,0,2.007413175,0.004255809,0.00762223
90054690,Casey,6,0,0,6.000312646,0.003498788,-0.000228966
90054690,Dandenong,5,0,0,5.005169367,0.003034755,0.006662844
90055388,Casey,4,0,0,4.00193332,-0.000327663,0.007831134
90055388,Dandenong,2,0,0,2.005292706,0.006611916,0.000722827
90056255,MMC- Clayton,2,0,0,2.003257774,0.003955746,0.002440554
90056621,Casey,4,0,0,4.005596154,0.00558873,0.006885377
90056621,Dandenong,5,0,0,5.007709435,0.004572396,0.00314075
90056792,Casey,6,0,0,6.000614138,0.001240836,0.001979223
90057408,Dandenong,5,0,0,5.004724023,0.004676584,0.005649076
90057415,Casey,3,0,0,3.000171538,0.006933465,0.002771648
90057415,MMC- Clayton,2,0,0,2.006144818,0.004260979,0.004317144
90057890,Dandenong,1,0,0,1.005177551,0.006296774,0.004201823
90058180,MMC- Clayton,3,0,0,3.002905997,0.005960579,0.002829238
90058333,MMC- Clayton,3,0,0,3.005552713,0.003941856,0.005053762
90058786,Dandenong,1,0,0,1.003331198,0.006811892,0.001130906
90059584,Casey,1,0,0,1.007467502,0.003922841,0.00117729
90059584,Dandenong,3,0,0,3.004050761,0.000327486,-0.000171897
90059584,MMC- Clayton,20,0,0,20.00885646,0.00903472,0.008590916
90059876,MMC- Clayton,1,0,0,1.001079052,0.005335105,-0.000143701
90060546,MMC- Clayton,1,0,0,1.002299915,0.00236148,0.000504488
90060746,Casey,4,0,0,4.003179514,0.00329048,0.003088125
90060945,Casey,1,0,0,1.008273855,-1.05219E-05,0.00918776
90060945,Dandenong,6,0,0,6.005204045,0.007161757,0.006364845
90060950,Dandenong,1,0,0,1.008223441,0.005451067,0.002176275
90060950,MMC- Clayton,7,1,14,7.002797665,1.009394193,14.00105967
90061220,Casey,5,0,0,5.002451393,0.00434558,1.67244E-05
90061220,MMC- Clayton,7,0,0,7.000638925,0.004118823,0.006636874
90062205,MMC- Clayton,38,2,5,38.00362609,2.003181972,5.000953901
90063200,Casey,8,0,0,8.00114151,0.008985076,0.00086354
90064512,Casey,10,0,0,10.0009223,0.005126435,0.001221053
90066524,MMC- Clayton,18,0,0,18.003815,0.002682212,0.007486271
90068267,Dandenong,12,0,0,12.00200218,0.002546695,0.003292403
90068451,Dandenong,4,0,0,4.003234349,0.008577205,0.007746753
90069969,Casey,4,0,0,4.000599478,0.001888892,0.006453357
90070093,MMC- Clayton,21,0,0,21.00572579,0.003527799,0.003012499
90070899,Casey,1,0,0,1.005999322,0.003272548,0.004302209
90071350,Dandenong,3,0,0,3.008073169,0.00629793,0.001098106
90071662,Casey,9,0,0,9.003381453,0.007398793,0.008286647
90071914,Casey,4,0,0,4.005584711,-9.73586E-05,0.006786171
90072373,Dandenong,3,0,0,2.999652768,0.003503567,0.008741105
90072373,MMC- Clayton,10,0,0,10.00891115,0.001818594,0.00524139
90074347,Casey,5,0,0,5.00361778,0.006763922,0.003684593
90074642,Dandenong,1,0,0,1.007524716,0.00539726,0.000409895
90074642,MMC- Clayton,2,0,0,2.006181294,0.006191968,0.005493334
90074963,Casey,4,0,0,4.005054979,0.009320188,0.003080307
90075008,MMC- Clayton,22,2,9,22.00088711,1.999939199,9.007112316
90075334,MMC- Clayton,13,0,0,13.00265225,0.00039562,0.00782772
90075767,Casey,4,0,0,4.007573228,0.009200404,0.008822426
90075767,Dandenong,3,0,0,3.006410041,0.005331742,0.006989013
90075796,MMC- Clayton,4,0,0,4.002631584,0.000620085,0.005747794
90076316,Casey,3,0,0,3.000150415,0.001805046,0.007331398
90076316,Dandenong,3,0,0,3.001471941,0.005630053,0.008150198
90076693,MMC- Clayton,8,0,0,8.002680146,0.001925219,0.00340776
90076797,MMC- Clayton,2,0,0,2.00589903,0.003786609,0.006286214
90077401,MMC- Clayton,18,0,0,18.00345547,0.005810124,0.009342868
90077628,Casey,12,0,0,12.00199963,0.003059116,0.000591479
90077920,MMC- Clayton,1,0,0,1.008321287,0.003335777,0.007145858
90078071,MMC- Clayton,14,0,0,14.00580811,0.003655012,0.007069281
90078140,Casey,4,0,0,4.001763665,0.009141266,0.002556965
90078263,Casey,7,0,0,7.006188604,0.004502317,0.000910551
90078705,MMC- Clayton,21,0,0,21.00759571,0.007603326,0.006269439
90078787,MMC- Clayton,3,0,0,3.000174375,0.000403443,0.006405025
90078814,Casey,2,0,0,2.006048495,0.006711706,0.002429174
90078814,MMC- Clayton,6,0,0,6.000327431,0.001340367,0.005485383
