Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90000541,Casey,3,0,0,3.040326563,0.02829416,0.09243486
90000541,MMC- Clayton,2,0,0,2.054541297,0.008518589,0.074461767
90000926,Casey,3,0,0,3.02052835,0.005234082,0.0118178
90000999,Casey,1,0,0,0.998640306,0.062958039,0.039270348
90001224,MMC- Clayton,28,0,0,28.06616578,0.077580402,0.017780905
90001660,Casey,2,0,0,2.077567172,0.051177503,0.052254364
90002178,MMC- Clayton,1,0,0,1.011930958,0.033214168,0.034581567
90002772,Dandenong,6,0,0,6.090111882,0.049835952,0.057014527
90002776,Casey,7,0,0,7.05741072,0.032434259,0.063062899
90002776,MMC- Clayton,2,0,0,2.0450323,0.083336461,0.070222377
90003149,Casey,2,0,0,2.046087254,0.077968945,0.045235763
90003195,Casey,2,0,0,2.050311325,0.007534493,0.0625456
90003244,Casey,4,0,0,3.996686546,0.026007287,-0.000988672
90003263,MMC- Clayton,1,0,0,1.005765061,0.02708904,0.094185684
90003309,Casey,1,0,0,1.086606298,0.068934189,0.093391593
90003338,MMC- Clayton,1,0,0,1.034198251,0.01395158,0.056625957
90003440,MMC- Clayton,2,0,0,2.071675702,0.051295428,0.064124762
90003645,MMC- Clayton,4,0,0,4.084977829,0.010558367,0.049246045
90003721,MMC- Clayton,4,0,0,4.047790738,0.075619063,0.031334912
90003723,MMC- Clayton,1,0,0,1.012792222,0.075526006,0.069029145
90003827,MMC- Clayton,4,0,0,4.030566171,0.044723753,0.070649353
90003932,MMC- Clayton,1,0,0,1.005116394,0.011541139,0.066347346
90003943,Dandenong,2,0,0,2.080045132,0.046462196,0.074730605
90004008,MMC- Clayton,2,0,0,2.028579098,0.032319273,0.074686648
90004171,MMC- Clayton,2,0,0,2.019621987,0.081813779,0.088342461
90004178,Casey,1,0,0,1.081871323,0.018925173,0.005241818
90004253,MMC- Clayton,1,0,0,1.043284185,0.050895196,0.024329401
90004289,Dandenong,1,0,0,1.038192887,0.065959698,0.072994535
90004510,MMC- Clayton,1,0,0,1.037625552,0.044621059,0.061694504
90004628,MMC- Clayton,2,0,0,2.058755281,0.054844485,0.030568903
90004908,MMC- Clayton,1,0,0,1.072993982,0.030944092,0.030231024
