Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90000541,Casey,3,0,0,3.007783237,0.090437581,0.050180099
90000541,MMC- Clayton,2,0,0,2.091537182,0.018917629,0.007645674
90000926,Casey,3,0,0,3.06291503,0.081313647,0.083449711
90000999,Casey,1,0,0,1.094260509,0.010872066,0.052781662
90001224,MMC- Clayton,28,0,0,28.01619659,0.008492555,0.07239589
90001660,Casey,2,0,0,2.048977767,-0.004274975,0.027825376
90002178,MMC- Clayton,1,0,0,1.024364399,0.055461505,0.044100014
90002772,Dandenong,6,0,0,6.035317638,0.076588564,0.041192555
90002776,Casey,7,3,42,7.041379175,3.037774285,42.02467143
90002776,MMC- Clayton,2,0,0,2.0745779,0.055846918,0.068477749
90003149,Casey,2,0,0,2.070889141,-0.004806375,0.067108927
90003195,Casey,2,0,0,2.05504342,0.000590419,0.027242902
90003244,Casey,4,3,75,4.077959614,3.058850497,75.02410319
90003263,MMC- Clayton,1,0,0,0.999674137,0.003404328,0.054959416
90003309,Casey,1,0,0,1.074871955,0.015721366,0.027744274
90003338,MMC- Clayton,1,0,0,1.018851852,-0.001023309,0.034972112
90003440,MMC- Clayton,2,0,0,2.037456824,0.0914468,0.057796184
90003645,MMC- Clayton,4,0,0,3.996004583,-0.001506357,0.069177083
90003721,MMC- Clayton,4,2,50,4.008711678,2.047215679,50.0191005
90003723,MMC- Clayton,1,0,0,1.094336858,0.062039352,0.035124585
90003827,MMC- Clayton,4,0,0,4.064020706,0.070302122,0.089518511
90003932,MMC- Clayton,1,0,0,1.003007978,0.025785998,0.027006975
90003943,Dandenong,2,0,0,2.036241027,0.063627568,0.087493608
90004008,MMC- Clayton,2,0,0,2.071798918,0.054204958,0.063078857
90004171,MMC- Clayton,2,0,0,2.030871912,0.05486972,0.06587354
90004178,Casey,1,0,0,1.025446669,0.00613534,0.023899744
90004253,MMC- Clayton,1,0,0,1.00167813,0.074277184,0.08738508
90004289,Dandenong,1,0,0,1.043526917,0.088836812,0.053537875
90004510,MMC- Clayton,1,0,0,1.066207256,0.080766628,-0.002741917
90004628,MMC- Clayton,2,0,0,1.997025368,0.076468127,0.00874417
90004908,MMC- Clayton,1,0,0,1.027721926,0.066972487,0.054291765
90005005,MMC- Clayton,5,0,0,5.009935471,0.075181003,0.042319101
90005028,Casey,1,0,0,1.05290508,0.001979162,-0.000333341
90005035,Dandenong,2,0,0,2.073739373,0.056206173,0.01081899
90005109,Casey,5,0,0,5.003862063,0.048693588,0.048811439
90005353,Casey,1,0,0,1.083683794,0.078146701,0.018932489
90005369,Casey,7,4,57,7.034592875,4.00025489,57.00262401
90005703,MMC- Clayton,1,0,0,1.036541664,0.037872444,0.002051547
90006510,MMC- Clayton,3,0,0,3.037647219,0.022257201,0.009381484
90007275,Casey,4,0,0,4.014295646,0.063705688,0.006066003
90007275,Dandenong,9,0,0,9.055943367,0.027783344,0.010739458
90007788,Casey,1,0,0,1.051566003,0.090832718,0.020159504
90008018,Casey,9,0,0,9.070350658,0.001170751,0.011272856
90008396,MMC- Clayton,10,0,0,10.08678773,0.037019424,0.083916747
90008672,Dandenong,8,2,25,8.070345627,1.995067849,25.02520112
90009738,MMC- Clayton,5,0,0,5.083040014,0.081619211,0.052367668
90010158,MMC- Clayton,8,0,0,8.0226444,0.036289316,0.082380096
90010636,MMC- Clayton,22,0,0,22.08909067,0.021228336,0.082994856
90010720,MMC- Clayton,2,0,0,2.088020297,0.024536967,0.010943869
90011578,Casey,15,0,0,15.00944654,0.056126076,0.063551294
90013598,MMC- Clayton,2,0,0,2.072153002,0.090345423,0.001007073
90013837,MMC- Clayton,28,3,10,28.04292376,3.011307166,10.09326133
90013900,Casey,5,0,0,5.083388672,0.007207475,0.014085935
90013900,Dandenong,1,0,0,1.057318737,0.012040769,0.05682556
90014727,Casey,2,0,0,2.065703557,0.02426063,0.071783275
90014902,MMC- Clayton,20,0,0,20.06188486,0.012125126,0.00841218
90015608,Casey,1,0,0,1.01744921,0.094437064,0.063999478
90015608,Dandenong,6,0,0,6.093938703,0.065026725,0.044830561
90015608,MMC- Clayton,20,0,0,20.07486691,0.016060034,0.052525277
90015746,Dandenong,1,0,0,1.023505822,0.002937607,0.007423995
90015901,MMC- Clayton,2,0,0,2.040410652,0.033978168,0.080643181
90016143,Dandenong,1,0,0,1.03542011,0.042676636,0.024405426
90018068,Casey,5,0,0,5.041606682,0.081607082,0.01570629
90018068,MMC- Clayton,2,0,0,2.024369749,0.011180814,0.052781432
90018863,Casey,13,3,23,13.06125018,3.0183312,23.02363326
90018863,MMC- Clayton,4,0,0,3.998610769,0.049524557,0.009842433
90019764,MMC- Clayton,5,0,0,5.004005212,0.035287058,0.008042411
90020817,Dandenong,8,0,0,8.043386722,0.041854913,0.014973048
90020817,MMC- Clayton,3,0,0,3.01992428,0.010413637,0.001789038
90021003,Dandenong,4,0,0,4.044398862,0.003662178,0.029016525
90022682,MMC- Clayton,3,0,0,2.997633917,0.077941416,0.049541959
90023171,MMC- Clayton,19,7,36,19.05391751,7.024110145,36.06968449
90024040,MMC- Clayton,14,2,14,13.99534329,2.026511308,14.03025897
90024223,Casey,4,0,0,4.039124033,0.08785036,0.043392293
90024223,Dandenong,1,0,0,1.093552184,-0.001957239,0.007753795
90024223,MMC- Clayton,4,0,0,4.062515598,0.024206706,0.042595621
90024320,MMC- Clayton,15,2,13,15.07985888,2.033544657,13.01336469
90024716,Casey,1,0,0,1.086593433,0.02872929,-0.000707463
90025727,Dandenong,3,0,0,3.040185574,0.07570609,0.091345844
90026166,MMC- Clayton,38,6,15,38.06486356,6.071843515,15.00684797
90027194,Casey,1,0,0,1.062495738,-0.002949201,0.007598975
90028087,Casey,1,0,0,1.008001695,0.016062587,0.01706967
90028254,Dandenong,6,3,50,6.064836608,3.088068804,50.01534907
90028254,MMC- Clayton,21,3,14,21.00536335,3.039487003,14.03112432
90029255,Casey,1,0,0,1.082971891,0.025195491,0.002623199
90029255,Dandenong,7,0,0,7.073271974,0.066628349,0.047605859
90029388,Dandenong,3,0,0,3.069232741,0.017096433,0.028244554
90030535,MMC- Clayton,12,0,0,12.01856533,0.062890707,0.011312634
90031199,Casey,3,0,0,3.075439586,0.015232167,0.074528236
90031311,MMC- Clayton,4,0,0,4.091173465,0.034894387,0.037959698
90031341,MMC- Clayton,4,3,75,4.042562812,2.997260952,75.02470633
90032676,Casey,6,0,0,6.092884107,0.046938668,0.083347957
90032705,MMC- Clayton,2,0,0,2.062401648,0.028308671,0.022074549
90032929,MMC- Clayton,5,0,0,5.094910227,0.011951901,0.090008549
90033661,Casey,3,0,0,3.076991978,0.082247888,0.076824356
90033661,Dandenong,4,0,0,4.018987044,0.051524752,0.09039249
90033661,MMC- Clayton,15,5,33,15.0767435,5.053231325,33.03644398
90033774,Dandenong,3,0,0,3.073187011,0.031962389,0.020498413
90033774,MMC- Clayton,26,7,26,26.01754208,7.089283965,26.03680953
90033803,MMC- Clayton,9,0,0,9.092536042,0.076594094,0.025126716
90034135,MMC- Clayton,6,0,0,6.026084967,0.094328187,0.04948838
90034329,Dandenong,2,0,0,2.010473333,0.0424812,0.043467327
90034785,Casey,7,0,0,7.040292379,0.092912367,0.020514209
90034958,Casey,1,0,0,1.001209862,0.093404303,0.031171293
90035140,Casey,1,0,0,1.083978308,0.069817039,0.046292543
90035880,Dandenong,1,0,0,1.0750262,0.074760942,0.089312463
90036519,MMC- Clayton,1,0,0,1.054094867,0.003503591,0.005066906
90037802,MMC- Clayton,4,0,0,4.062628614,0.025340503,0.063361044
90037850,Dandenong,2,0,0,1.998555835,0.03676518,0.013819151
90038386,Casey,5,0,0,5.016408511,0.0468174,0.070139779
90039000,Casey,7,0,0,6.999635504,0.08732104,0.027138074
90039000,Dandenong,2,0,0,2.068231154,0.07750119,0.085648946
90039551,Casey,9,0,0,9.012416868,0.029812924,0.092309667
90039551,Dandenong,1,0,0,0.995278103,0.002893513,0.068434093
90039776,Casey,2,0,0,2.059556604,0.001060373,0.079159804
90040184,Dandenong,1,0,0,1.038272282,0.000303215,0.004877233
90040371,MMC- Clayton,3,0,0,3.0334508,0.033240398,0.013440264
90040773,Dandenong,4,1,25,4.031860333,1.005307716,25.07506102
90040881,Casey,6,0,0,6.075876138,0.094747032,-0.003617803
90041374,Casey,1,0,0,1.022729757,-0.00376141,0.012553689
90043227,MMC- Clayton,8,0,0,8.049788917,0.093596423,0.035398305
90043338,MMC- Clayton,8,0,0,8.016433745,0.044844501,0.006657223
90043759,Casey,6,0,0,6.018084313,0.060786484,0.042514011
90043890,Dandenong,1,0,0,1.092362447,0.025573156,0.050444504
90044135,Casey,14,0,0,14.04057672,0.025092354,0.07059995
90044868,Casey,8,0,0,8.044263713,0.067106587,0.061943487
90044868,Dandenong,2,0,0,2.068421296,0.070926548,-0.000345651
90045378,MMC- Clayton,2,0,0,2.012998801,0.025684971,0.031273955
90046308,Casey,10,0,0,10.0295675,0.070279154,0.06416827
90046416,Casey,9,0,0,9.078687573,0.001352765,0.020355431
90047010,Dandenong,1,0,0,1.04731428,0.02010248,0.020856068
