Treating.Clinician,Number of Patients Seen,Number of Patients Seen Salbutamol,Proportion Salbutamol,Hospital
90086136,71,4,6%,Casey
90044135,53,3,6%,Casey
90101274,33,3,9%,Casey
90124445,9,3,33%,Casey
90007275,19,2,11%,Casey
90046308,30,2,7%,Casey
90074963,14,2,14%,Casey
90098753,26,2,8%,Casey
90103318,52,2,4%,Casey
90104011,17,2,12%,Casey
90123234,25,2,8%,Casey
90124439,19,2,11%,Casey
90124440,36,2,6%,Casey
90144629,34,2,6%,Casey
90144872,50,2,4%,Casey
90000541,4,1,25%,Casey
90008486,7,1,14%,Casey
90018068,23,1,4%,Casey
90024223,19,1,5%,Casey
90032676,16,1,6%,Casey
90038386,8,1,13%,Casey
90039551,12,1,8%,Casey
90048709,17,1,6%,Casey
90056792,15,1,7%,Casey
90057415,5,1,20%,Casey
90070899,9,1,11%,Casey
90071914,5,1,20%,Casey
90077628,16,1,6%,Casey
90082515,25,1,4%,Casey
90082724,21,1,5%,Casey
90083180,12,1,8%,Casey
90085715,5,1,20%,Casey
90088199,15,1,7%,Casey
90089947,13,1,8%,Casey
90095252,24,1,4%,Casey
90105952,5,1,20%,Casey
90111258,2,1,50%,Casey
90111320,3,1,33%,Casey
90119071,11,1,9%,Casey
90119715,4,1,25%,Casey
90119988,7,1,14%,Casey
90123231,20,1,5%,Casey
90123258,11,1,9%,Casey
90123295,17,1,6%,Casey
90124441,15,1,7%,Casey
90124443,3,1,33%,Casey
90124446,10,1,10%,Casey
90124447,21,1,5%,Casey
90124574,19,1,5%,Casey
90132167,36,1,3%,Casey
90141465,3,1,33%,Casey
90142803,2,1,50%,Casey
90144220,5,1,20%,Casey
90145323,2,1,50%,Casey
90145385,5,1,20%,Casey
90145489,13,1,8%,Casey
90153760,9,1,11%,Casey
90154175,13,1,8%,Casey
90154195,4,1,25%,Casey
90161944,5,1,20%,Casey
90162065,40,1,3%,Casey
90162082,8,1,13%,Casey
90162770,14,1,7%,Casey
90162925,30,1,3%,Casey
90164305,9,1,11%,Casey
90000926,4,0,0%,Casey
90000999,5,0,0%,Casey
90001660,2,0,0%,Casey
90002354,2,0,0%,Casey
90002776,7,0,0%,Casey
90003149,14,0,0%,Casey
90003195,2,0,0%,Casey
90003244,4,0,0%,Casey
90003259,1,0,0%,Casey
90003309,1,0,0%,Casey
90004066,3,0,0%,Casey
90004155,1,0,0%,Casey
90004171,3,0,0%,Casey
90004178,1,0,0%,Casey
90004416,2,0,0%,Casey
90004543,1,0,0%,Casey
90004705,1,0,0%,Casey
90004845,3,0,0%,Casey
90004891,1,0,0%,Casey
90004893,6,0,0%,Casey
90005028,2,0,0%,Casey
90005109,5,0,0%,Casey
90005110,1,0,0%,Casey
90005147,1,0,0%,Casey
90005353,2,0,0%,Casey
90005369,7,0,0%,Casey
90006510,3,0,0%,Casey
90007425,4,0,0%,Casey
90007788,1,0,0%,Casey
90008018,12,0,0%,Casey
90009507,5,0,0%,Casey
90011578,27,0,0%,Casey
90013900,28,0,0%,Casey
90014011,1,0,0%,Casey
90014727,4,0,0%,Casey
90015608,3,0,0%,Casey
90017672,7,0,0%,Casey
90018083,6,0,0%,Casey
90018863,18,0,0%,Casey
90022106,1,0,0%,Casey
90022335,3,0,0%,Casey
90024716,6,0,0%,Casey
90027194,1,0,0%,Casey
90028087,6,0,0%,Casey
90029255,1,0,0%,Casey
90031199,4,0,0%,Casey
90033661,3,0,0%,Casey
90033803,1,0,0%,Casey
90034785,25,0,0%,Casey
90034958,1,0,0%,Casey
90035140,3,0,0%,Casey
90039000,9,0,0%,Casey
90039776,3,0,0%,Casey
90040881,7,0,0%,Casey
90041374,4,0,0%,Casey
90043059,3,0,0%,Casey
90043212,3,0,0%,Casey
90043378,5,0,0%,Casey
90043759,17,0,0%,Casey
90044868,13,0,0%,Casey
90045178,1,0,0%,Casey
90045480,5,0,0%,Casey
90046416,25,0,0%,Casey
90047604,2,0,0%,Casey
90052237,1,0,0%,Casey
90052753,4,0,0%,Casey
90053104,16,0,0%,Casey
90053409,30,0,0%,Casey
90053418,2,0,0%,Casey
90053715,20,0,0%,Casey
90054690,17,0,0%,Casey
90055388,4,0,0%,Casey
90056621,14,0,0%,Casey
90057340,1,0,0%,Casey
90059584,5,0,0%,Casey
90060746,11,0,0%,Casey
90060945,1,0,0%,Casey
90061220,7,0,0%,Casey
90063200,20,0,0%,Casey
90064512,19,0,0%,Casey
90068451,1,0,0%,Casey
90069969,14,0,0%,Casey
90071662,20,0,0%,Casey
90071676,5,0,0%,Casey
90071867,2,0,0%,Casey
90072053,11,0,0%,Casey
90074347,16,0,0%,Casey
90075767,19,0,0%,Casey
90076316,11,0,0%,Casey
90078140,5,0,0%,Casey
90078263,8,0,0%,Casey
90078814,6,0,0%,Casey
90079400,1,0,0%,Casey
90079929,6,0,0%,Casey
90081957,3,0,0%,Casey
90082524,2,0,0%,Casey
90082606,1,0,0%,Casey
90083027,15,0,0%,Casey
90085012,4,0,0%,Casey
90085693,1,0,0%,Casey
90085963,8,0,0%,Casey
90086511,21,0,0%,Casey
90089123,44,0,0%,Casey
90089975,7,0,0%,Casey
90090296,7,0,0%,Casey
90090681,10,0,0%,Casey
90093190,5,0,0%,Casey
90094007,16,0,0%,Casey
90094590,3,0,0%,Casey
90094829,2,0,0%,Casey
90097823,12,0,0%,Casey
90098181,2,0,0%,Casey
90098405,7,0,0%,Casey
90099027,12,0,0%,Casey
90100013,11,0,0%,Casey
90102895,2,0,0%,Casey
90104797,5,0,0%,Casey
90104983,3,0,0%,Casey
90104988,2,0,0%,Casey
