Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_ondansetron,ondansetron_proportion
90000541,4,0,0%
90000926,4,0,0%
90000999,5,0,0%
90001660,2,0,0%
90002354,2,0,0%
90002776,7,0,0%
90003149,14,0,0%
90003195,2,0,0%
90003244,4,0,0%
90003259,1,0,0%
90003309,1,0,0%
90004066,3,0,0%
90004155,1,0,0%
90004171,3,0,0%
90004178,1,0,0%
90004416,2,0,0%
90004543,1,0,0%
90004705,1,0,0%
90004845,3,0,0%
90004891,1,0,0%
90004893,6,0,0%
90005028,2,0,0%
90005109,5,0,0%
90005110,1,0,0%
90005147,1,0,0%
90005353,2,0,0%
90005369,7,0,0%
90006510,3,0,0%
90007275,19,0,0%
90007425,4,0,0%
90007788,1,0,0%
90008018,12,0,0%
90008486,7,0,0%
90009507,5,0,0%
90011578,27,0,0%
90013900,28,0,0%
90014011,1,0,0%
90014727,4,0,0%
90015608,3,0,0%
90017672,7,0,0%
90018068,23,0,0%
90018083,6,0,0%
90018863,18,1,6%
90022106,1,0,0%
90022335,3,0,0%
90024223,19,0,0%
90024716,6,0,0%
90027194,1,0,0%
90028087,6,0,0%
90029255,1,0,0%
90031199,4,0,0%
90032676,16,1,6%
90033661,3,0,0%
90033803,1,0,0%
90034785,25,2,8%
90034958,1,0,0%
90035140,3,0,0%
90038386,8,0,0%
90039000,9,0,0%
90039551,12,0,0%
90039776,3,0,0%
90040881,7,0,0%
90041374,4,0,0%
90043059,3,0,0%
90043212,3,0,0%
90043378,5,1,20%
90043759,17,0,0%
90044135,53,1,2%
90044868,13,1,8%
90045178,1,0,0%
90045480,5,0,0%
90046308,30,1,3%
90046416,25,0,0%
90047604,2,0,0%
90048709,17,0,0%
90052237,1,0,0%
90052753,4,0,0%
90053104,16,0,0%
90053409,30,0,0%
90053418,2,0,0%
90053715,20,1,5%
90054690,17,0,0%
90055388,4,0,0%
90056621,14,1,7%
90056792,15,0,0%
90057340,1,0,0%
90057415,5,0,0%
90059584,5,0,0%
90060746,11,0,0%
90060945,1,0,0%
90061220,7,0,0%
90063200,20,1,5%
90064512,19,0,0%
90068451,1,0,0%
90069969,14,0,0%
90070899,9,0,0%
90071662,20,0,0%
90071676,5,0,0%
90071867,2,0,0%
90071914,5,0,0%
90072053,11,0,0%
90074347,16,0,0%
90074963,14,0,0%
90075767,19,1,5%
90076316,11,0,0%
90077628,16,2,12%
90078140,5,1,20%
90078263,8,0,0%
90078814,6,0,0%
90079400,1,0,0%
90079929,6,0,0%
90081957,3,0,0%
90082515,25,1,4%
90082524,2,0,0%
90082606,1,0,0%
90082724,21,0,0%
90083027,15,0,0%
90083180,12,2,17%
90085012,4,0,0%
90085693,1,0,0%
90085715,5,0,0%
90085963,8,0,0%
90086136,71,4,6%
90086511,21,0,0%
90088199,15,2,13%
90089123,44,2,5%
90089947,13,0,0%
90089975,7,0,0%
90090296,7,0,0%
90090681,10,0,0%
90093190,5,0,0%
90094007,16,2,12%
90094590,3,0,0%
90094829,2,0,0%
90095252,24,0,0%
90097823,12,0,0%
90098181,2,0,0%
90098405,7,0,0%
90098753,26,0,0%
90099027,12,0,0%
90100013,11,0,0%
90101274,33,4,12%
90102895,2,0,0%
90103318,52,1,2%
90104011,17,0,0%
90104797,5,0,0%
90104983,3,0,0%
90104988,2,0,0%
90105952,5,0,0%
90107017,1,0,0%
90109179,7,1,14%
90109536,4,0,0%
90111143,1,0,0%
90111234,1,0,0%
90111256,2,0,0%
90111258,2,0,0%
90111265,3,0,0%
90111320,3,0,0%
90112083,4,0,0%
90113108,1,0,0%
90113883,23,1,4%
90114206,2,0,0%
90115768,3,0,0%
90116155,6,0,0%
90117588,13,0,0%
90117635,5,0,0%
90118132,9,0,0%
90119071,11,0,0%
90119715,4,0,0%
90119742,11,0,0%
90119752,1,0,0%
90119860,7,0,0%
