Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90000541,Casey,3,0,0,3.00783189,0.005003735,0.018604394
90000541,MMC- Clayton,2,0,0,2.00897057,0.037051628,0.017582908
90000926,Casey,3,0,0,3.008130804,0.083043516,0.064584655
90000999,Casey,1,0,0,1.007245143,0.018245281,0.063774746
90001224,MMC- Clayton,28,0,0,28.00132953,0.038618549,0.081303576
90001660,Casey,2,0,0,2.00468388,-0.004025438,0.041399514
90002178,MMC- Clayton,1,0,0,1.006228352,0.029979064,0.033828679
90002772,Dandenong,6,0,0,6.008290397,0.050132209,0.066430565
90002776,Casey,7,0,0,7.006658419,0.065116325,0.022489194
90002776,MMC- Clayton,2,0,0,2.006336775,0.056815794,0.0595702
90003149,Casey,2,0,0,2.00946708,0.043521373,0.026183817
90003195,Casey,2,0,0,2.003288562,0.011000449,0.088261798
90003244,Casey,4,0,0,4.005073458,0.012786652,0.020652167
90003263,MMC- Clayton,1,0,0,1.003683388,0.052331963,0.039479973
90003309,Casey,1,0,0,1.007203476,0.036514829,0.054981902
90003338,MMC- Clayton,1,0,0,1.000263754,0.03692195,0.017353637
90003440,MMC- Clayton,2,0,0,2.009489603,-0.002484156,0.002284319
90003645,MMC- Clayton,4,0,0,3.999966194,0.053725167,0.003666104
90003721,MMC- Clayton,4,0,0,4.009320389,0.008128779,0.045667518
90003723,MMC- Clayton,1,0,0,1.002733151,0.057607117,0.013980678
90003827,MMC- Clayton,4,0,0,4.00249163,-0.00463896,0.054099921
90003932,MMC- Clayton,1,0,0,1.009281048,0.0455611,0.010155071
90003943,Dandenong,2,1,50,2.001523806,1.08777673,50.06409301
90004008,MMC- Clayton,2,0,0,2.001752602,0.087143876,-0.001049459
90004171,MMC- Clayton,2,0,0,2.003465482,0.071511947,0.01783032
90004178,Casey,1,0,0,1.003648109,0.045216416,0.027635967
90004253,MMC- Clayton,1,0,0,1.000175281,0.011109675,0.008804745
90004289,Dandenong,1,0,0,1.006223176,0.052172062,0.005304533
90004510,MMC- Clayton,1,0,0,1.008867257,0.050766972,0.045130836
90004628,MMC- Clayton,2,0,0,2.004528175,0.041115404,0.023020159
90004908,MMC- Clayton,1,0,0,1.005571623,0.040934203,0.059719503
90005005,MMC- Clayton,5,0,0,5.000054664,0.043192,0.002989704
90005028,Casey,1,0,0,1.00931293,0.081030405,0.014639503
90005035,Dandenong,2,0,0,2.007972717,0.00961514,0.019119221
90005109,Casey,5,0,0,5.002016408,0.084661263,0.073680325
90005353,Casey,1,1,100,1.00551615,1.089154382,100.0263297
90005369,Casey,7,0,0,7.005394468,0.080397062,-0.001940861
90005703,MMC- Clayton,1,0,0,1.008147584,0.024034458,0.013183119
90006510,MMC- Clayton,3,0,0,3.001639482,0.071223519,0.002189642
90007275,Casey,4,0,0,4.006446915,0.085164711,0.003761603
90007275,Dandenong,9,0,0,9.007868814,0.066590162,0.055179388
90007788,Casey,1,0,0,1.002549696,0.074975722,0.056594822
90008018,Casey,9,0,0,9.001729841,0.011205507,0.059414922
90008396,MMC- Clayton,10,1,10,10.00497496,1.022184946,10.06427521
90008672,Dandenong,8,0,0,8.004546355,0.050655844,0.089398399
