Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_chloral_hydrate,chloral_hydrate_proportion
90000999,5,0,0%
90002772,9,0,0%
90003427,4,0,0%
90003514,1,0,0%
90003553,1,0,0%
90003634,2,0,0%
90003943,2,0,0%
90004058,2,0,0%
90004171,3,0,0%
90004289,1,0,0%
90004406,1,0,0%
90004790,3,0,0%
90005035,2,0,0%
90005065,1,0,0%
90005204,1,0,0%
90007275,19,0,0%
90008672,8,0,0%
90012659,1,0,0%
90013900,2,0,0%
90015608,6,0,0%
90015746,1,0,0%
90016143,6,0,0%
90017559,2,0,0%
90018083,3,0,0%
90020817,8,0,0%
90021003,4,0,0%
90022335,1,0,0%
90023171,1,0,0%
90024223,9,0,0%
90025465,1,0,0%
90025727,3,0,0%
90028087,2,0,0%
90028254,6,0,0%
90029255,7,0,0%
90029388,3,0,0%
90030552,3,0,0%
90033366,4,0,0%
90033661,4,0,0%
90033774,4,0,0%
90034329,2,0,0%
90035880,3,0,0%
90035983,14,0,0%
90037850,2,0,0%
90039000,5,0,0%
90039551,2,0,0%
90040184,2,0,0%
90040773,5,0,0%
90043890,1,0,0%
90044868,5,0,0%
90047010,6,0,0%
90047937,1,0,0%
90049188,9,0,0%
90051139,14,0,0%
90051275,2,0,0%
90052916,9,0,0%
90053104,3,0,0%
90053418,2,0,0%
90053715,1,0,0%
90054690,8,0,0%
90055388,2,0,0%
90056621,12,0,0%
90057408,8,0,0%
90057890,6,0,0%
90058786,1,0,0%
90059584,3,0,0%
90060945,11,0,0%
90060950,1,0,0%
90063300,1,0,0%
90068267,12,0,0%
90068451,4,0,0%
90071350,6,0,0%
90071662,2,0,0%
90072373,14,0,0%
90074642,1,0,0%
90075211,1,0,0%
90075767,10,0,0%
90076316,5,0,0%
90077401,3,0,0%
90078140,7,0,0%
90080314,2,0,0%
90081957,2,0,0%
90082317,5,0,0%
90082515,13,0,0%
90082724,1,0,0%
90083180,4,0,0%
90083199,11,0,0%
90085012,1,0,0%
90085273,1,0,0%
90086726,5,0,0%
90088199,4,0,0%
90090296,25,0,0%
90091034,5,0,0%
90093122,1,0,0%
90093189,2,0,0%
90097823,7,0,0%
90098405,1,0,0%
90099752,6,0,0%
90099773,5,0,0%
90100582,16,0,0%
90101219,5,0,0%
90102882,3,0,0%
90102895,17,0,0%
90104011,10,0,0%
90104880,3,0,0%
90107017,3,0,0%
90107765,7,0,0%
90109083,15,0,0%
90109179,3,0,0%
90110166,1,0,0%
90111258,8,0,0%
90112361,2,0,0%
90112515,3,0,0%
90112578,3,0,0%
90113108,6,0,0%
90115923,12,0,0%
90116155,5,0,0%
90117588,17,0,0%
90117635,3,0,0%
90118204,6,0,0%
90119011,1,0,0%
90119742,6,0,0%
90119988,5,0,0%
90123243,2,0,0%
90123255,7,0,0%
90123274,8,0,0%
90123336,2,0,0%
90123339,2,0,0%
90124202,10,0,0%
90124437,3,0,0%
90124438,3,0,0%
90124439,6,0,0%
90124445,1,0,0%
90124446,8,0,0%
90124447,10,0,0%
90124449,12,0,0%
90124457,2,0,0%
90124459,2,0,0%
90124499,1,0,0%
90124515,4,0,0%
90124517,9,0,0%
90124561,6,0,0%
90124565,2,0,0%
90124570,2,0,0%
90138148,3,0,0%
90139416,1,0,0%
90140978,8,0,0%
90141583,1,0,0%
90142799,1,0,0%
90142824,1,0,0%
90142847,2,0,0%
90142849,1,0,0%
90142983,2,0,0%
90144566,7,0,0%
90144627,5,0,0%
90144754,1,0,0%
90144839,5,0,0%
90145198,1,0,0%
90145323,5,0,0%
90145457,1,0,0%
90145469,5,0,0%
90145927,10,0,0%
90146286,2,0,0%
90148374,1,0,0%
90153189,5,0,0%
90153466,1,0,0%
90154371,5,0,0%
90156769,6,0,0%
90157916,1,0,0%
90159883,7,0,0%
90160514,1,0,0%
90160647,1,0,0%
90160650,3,0,0%
90160701,1,0,0%
90160968,1,0,0%
90161059,2,0,0%
90161089,2,0,0%
90162229,1,0,0%
90162772,2,0,0%
90164142,2,0,0%
90165844,2,0,0%
