Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_prednisolone,prednisolone_proportion,Hospital,prednisolone_percentage,jitter_Number_of_patient_Seen,jitter_prednisolone_proportion,jitter_prednisolone_percentage
90000999,5,0,0,Dandenong,0,5.003539098,0.007462832,0.746283155
90002772,9,0,0,Dandenong,0,8.994876033,0.000392361,0.039236072
90003427,4,0,0,Dandenong,0,4.009685977,0.001188363,0.118836255
90003514,1,0,0,Dandenong,0,1.002510969,0.009270485,0.92704854
90003553,1,0,0,Dandenong,0,0.99468228,-0.001081506,-0.108150592
90003634,2,0,0,Dandenong,0,2.004367389,0.005673265,0.567326533
90003943,2,1,0.5,Dandenong,50,2.000094012,0.494713279,49.47132786
90004058,2,0,0,Dandenong,0,1.998734373,0.003025734,0.30257343
90004171,3,0,0,Dandenong,0,2.997795526,0.002350181,0.235018095
90004289,1,0,0,Dandenong,0,0.996222947,-0.004404996,-0.440499623
90004406,1,0,0,Dandenong,0,0.998607967,0.004828806,0.48288062
90004790,3,0,0,Dandenong,0,3.000559275,0.00778673,0.778673022
90005035,2,0,0,Dandenong,0,1.991219817,-0.0076594,-0.765940015
90005065,1,0,0,Dandenong,0,1.003058243,0.00496202,0.496202033
90005204,1,0,0,Dandenong,0,1.004271043,0.002943242,0.29432416
90007275,19,0,0,Dandenong,0,18.99291129,0.002801509,0.28015089
90008672,8,0,0,Dandenong,0,8.007848148,-0.001717231,-0.171723075
90012659,1,0,0,Dandenong,0,1.00325695,0.002254216,0.225421598
90013900,2,0,0,Dandenong,0,2.009475766,-0.002281231,-0.228123084
90015608,6,0,0,Dandenong,0,6.004711365,-0.009616449,-0.961644928
90015746,1,0,0,Dandenong,0,1.003265491,-0.004405636,-0.440563627
90016143,6,0,0,Dandenong,0,6.00734961,0.000417891,0.041789144
90017559,2,0,0,Dandenong,0,2.002613472,0.00347921,0.347921031
90018083,3,0,0,Dandenong,0,2.992281263,0.00787071,0.787070979
90020817,8,0,0,Dandenong,0,8.005147674,0.008795693,0.879569338
90021003,4,0,0,Dandenong,0,3.992373537,0.009503603,0.950360278
90022335,1,0,0,Dandenong,0,1.001210454,-0.009721509,-0.972150878
90023171,1,0,0,Dandenong,0,0.992276826,0.002076015,0.207601515
90024223,9,0,0,Dandenong,0,8.997263913,0.003358147,0.335814692
90025465,1,0,0,Dandenong,0,1.00528313,-0.001379242,-0.137924154
90025727,3,0,0,Dandenong,0,2.99389552,-0.005670521,-0.567052135
90028087,2,0,0,Dandenong,0,1.995150946,-0.002769265,-0.276926486
90028254,6,0,0,Dandenong,0,5.998120446,-0.009997168,-0.999716838
90029255,7,0,0,Dandenong,0,7.004523697,-0.008994126,-0.899412595
90029388,3,0,0,Dandenong,0,2.99771169,-0.00368726,-0.368725959
90030552,3,0,0,Dandenong,0,3.003772891,-0.007275878,-0.727587764
90033366,4,0,0,Dandenong,0,3.998727652,0.000318725,0.031872534
90033661,4,0,0,Dandenong,0,3.997155303,0.000931949,0.093194859
90033774,4,1,0.25,Dandenong,25,3.993538619,0.24171957,24.17195696
90034329,2,0,0,Dandenong,0,1.990680618,0.001612799,0.161279926
90035880,3,0,0,Dandenong,0,3.005860682,0.001601369,0.160136852
90035983,14,0,0,Dandenong,0,13.99308668,-0.002008142,-0.200814209
90037850,2,0,0,Dandenong,0,1.99002095,-0.007846297,-0.784629739
90039000,5,0,0,Dandenong,0,5.00319853,0.000910679,0.091067868
90039551,2,0,0,Dandenong,0,2.004368142,0.006770841,0.677084129
90040184,2,0,0,Dandenong,0,1.991907577,0.005038135,0.503813531
90040773,5,0,0,Dandenong,0,5.000868185,-0.007678699,-0.76786995
90043890,1,0,0,Dandenong,0,0.994236726,0.007838598,0.783859847
90044868,5,0,0,Dandenong,0,4.994990098,-0.009944446,-0.994444583
90047010,6,0,0,Dandenong,0,5.990073032,0.009047079,0.904707942
90047937,1,0,0,Dandenong,0,0.997295549,-0.007445164,-0.744516356
90049188,9,0,0,Dandenong,0,8.999182614,-0.009716623,-0.971662347
