Treating.Clinician,Number of Patients Seen,Number of Patients Seen Salbutamol,Proportion Salbutamol,Hospital,Salbutamol_Percentage
90119577,96,3,3%,MMC- Clayton,3
90028254,34,2,6%,MMC- Clayton,6
90059584,34,2,6%,MMC- Clayton,6
90060950,29,2,7%,MMC- Clayton,7
90072373,37,2,5%,MMC- Clayton,5
90078705,51,2,4%,MMC- Clayton,4
90144405,99,2,2%,MMC- Clayton,2
90145549,25,2,8%,MMC- Clayton,8
90145754,60,2,3%,MMC- Clayton,3
90003723,6,1,17%,MMC- Clayton,17
90004908,2,1,50%,MMC- Clayton,50
90005187,3,1,33%,MMC- Clayton,33
90014902,43,1,2%,MMC- Clayton,2
90051548,16,1,6%,MMC- Clayton,6
90070093,52,1,2%,MMC- Clayton,2
90077401,40,1,3%,MMC- Clayton,3
90078814,7,1,14%,MMC- Clayton,14
90080314,3,1,33%,MMC- Clayton,33
90081325,51,1,2%,MMC- Clayton,2
90085898,23,1,4%,MMC- Clayton,4
90091034,2,1,50%,MMC- Clayton,50
90093190,15,1,7%,MMC- Clayton,7
90094126,22,1,5%,MMC- Clayton,5
90103318,5,1,20%,MMC- Clayton,20
90111262,1,1,100%,MMC- Clayton,100
90119823,20,1,5%,MMC- Clayton,5
90119860,4,1,25%,MMC- Clayton,25
90121871,10,1,10%,MMC- Clayton,10
90122677,49,1,2%,MMC- Clayton,2
90124447,14,1,7%,MMC- Clayton,7
90124505,21,1,5%,MMC- Clayton,5
90124609,63,1,2%,MMC- Clayton,2
90142519,38,1,3%,MMC- Clayton,3
90142824,17,1,6%,MMC- Clayton,6
90144443,28,1,4%,MMC- Clayton,4
90144911,5,1,20%,MMC- Clayton,20
90145086,55,1,2%,MMC- Clayton,2
90145218,19,1,5%,MMC- Clayton,5
90150180,4,1,25%,MMC- Clayton,25
90155200,32,1,3%,MMC- Clayton,3
90157612,33,1,3%,MMC- Clayton,3
90159236,4,1,25%,MMC- Clayton,25
90162079,57,1,2%,MMC- Clayton,2
90162082,11,1,9%,MMC- Clayton,9
90166103,12,1,8%,MMC- Clayton,8
90000541,3,0,0%,MMC- Clayton,0
90000821,2,0,0%,MMC- Clayton,0
90001224,58,0,0%,MMC- Clayton,0
90002178,16,0,0%,MMC- Clayton,0
90002776,5,0,0%,MMC- Clayton,0
90003225,14,0,0%,MMC- Clayton,0
90003263,1,0,0%,MMC- Clayton,0
90003332,2,0,0%,MMC- Clayton,0
90003338,1,0,0%,MMC- Clayton,0
90003440,2,0,0%,MMC- Clayton,0
90003510,2,0,0%,MMC- Clayton,0
90003645,6,0,0%,MMC- Clayton,0
90003671,5,0,0%,MMC- Clayton,0
90003721,4,0,0%,MMC- Clayton,0
90003827,8,0,0%,MMC- Clayton,0
90003932,2,0,0%,MMC- Clayton,0
90004008,7,0,0%,MMC- Clayton,0
90004171,2,0,0%,MMC- Clayton,0
90004253,1,0,0%,MMC- Clayton,0
90004301,17,0,0%,MMC- Clayton,0
90004467,2,0,0%,MMC- Clayton,0
90004510,2,0,0%,MMC- Clayton,0
90004546,10,0,0%,MMC- Clayton,0
90004585,2,0,0%,MMC- Clayton,0
90004628,11,0,0%,MMC- Clayton,0
90004632,1,0,0%,MMC- Clayton,0
90004798,5,0,0%,MMC- Clayton,0
90004811,4,0,0%,MMC- Clayton,0
90004881,1,0,0%,MMC- Clayton,0
90004900,2,0,0%,MMC- Clayton,0
90005005,9,0,0%,MMC- Clayton,0
90005132,2,0,0%,MMC- Clayton,0
90005201,10,0,0%,MMC- Clayton,0
90005205,1,0,0%,MMC- Clayton,0
90005292,1,0,0%,MMC- Clayton,0
90005313,2,0,0%,MMC- Clayton,0
90005703,20,0,0%,MMC- Clayton,0
90006510,6,0,0%,MMC- Clayton,0
90007275,10,0,0%,MMC- Clayton,0
90008396,10,0,0%,MMC- Clayton,0
90009738,21,0,0%,MMC- Clayton,0
90009881,22,0,0%,MMC- Clayton,0
90010158,22,0,0%,MMC- Clayton,0
90010538,2,0,0%,MMC- Clayton,0
90010636,31,0,0%,MMC- Clayton,0
90010720,2,0,0%,MMC- Clayton,0
90012203,5,0,0%,MMC- Clayton,0
90013598,4,0,0%,MMC- Clayton,0
90013837,44,0,0%,MMC- Clayton,0
90014525,2,0,0%,MMC- Clayton,0
90015608,33,0,0%,MMC- Clayton,0
90015901,5,0,0%,MMC- Clayton,0
90016143,1,0,0%,MMC- Clayton,0
90018068,2,0,0%,MMC- Clayton,0
90018863,23,0,0%,MMC- Clayton,0
90019764,5,0,0%,MMC- Clayton,0
90020817,3,0,0%,MMC- Clayton,0
90020953,1,0,0%,MMC- Clayton,0
90022682,11,0,0%,MMC- Clayton,0
90023171,47,0,0%,MMC- Clayton,0
90024040,22,0,0%,MMC- Clayton,0
90024223,7,0,0%,MMC- Clayton,0
90024320,25,0,0%,MMC- Clayton,0
90025896,1,0,0%,MMC- Clayton,0
90026166,55,0,0%,MMC- Clayton,0
90028082,3,0,0%,MMC- Clayton,0
90028087,6,0,0%,MMC- Clayton,0
90030535,35,0,0%,MMC- Clayton,0
90031199,2,0,0%,MMC- Clayton,0
90031311,7,0,0%,MMC- Clayton,0
90031341,26,0,0%,MMC- Clayton,0
90032705,7,0,0%,MMC- Clayton,0
90032929,17,0,0%,MMC- Clayton,0
90033661,19,0,0%,MMC- Clayton,0
90033774,66,0,0%,MMC- Clayton,0
90033803,46,0,0%,MMC- Clayton,0
90034135,9,0,0%,MMC- Clayton,0
90036294,2,0,0%,MMC- Clayton,0
90036519,5,0,0%,MMC- Clayton,0
90037802,8,0,0%,MMC- Clayton,0
90037995,3,0,0%,MMC- Clayton,0
90040004,19,0,0%,MMC- Clayton,0
90040371,4,0,0%,MMC- Clayton,0
90043227,15,0,0%,MMC- Clayton,0
90043338,26,0,0%,MMC- Clayton,0
90043858,4,0,0%,MMC- Clayton,0
90044101,5,0,0%,MMC- Clayton,0
90044868,1,0,0%,MMC- Clayton,0
90045378,17,0,0%,MMC- Clayton,0
90047064,1,0,0%,MMC- Clayton,0
90048747,21,0,0%,MMC- Clayton,0
90049430,5,0,0%,MMC- Clayton,0
90051275,11,0,0%,MMC- Clayton,0
90052261,15,0,0%,MMC- Clayton,0
90052270,33,0,0%,MMC- Clayton,0
90052734,2,0,0%,MMC- Clayton,0
90052916,13,0,0%,MMC- Clayton,0
