Treating.Clinician,Number of Patients Seen,Number of Patients Seen ibuprofen,Proportion ibuprofen,Hospital,ibuprofen_percentage,jitter_Number of Patients Seen,jitter_Proportion_ibuprofen,jitter_ibuprofen_percentage
90000999,5,0,0,Dandenong,0,5.001803578,-0.000122026,-0.012202575
90002772,9,3,0.33,Dandenong,33,9.002333164,0.337377919,33.7377919
90003427,4,0,0,Dandenong,0,3.993721411,0.003158154,0.315815374
90003514,1,0,0,Dandenong,0,0.996581694,0.003087723,0.308772315
90003553,1,0,0,Dandenong,0,0.990943937,0.000606512,0.06065117
90003634,2,0,0,Dandenong,0,1.993714911,-0.002469138,-0.246913827
90003943,2,1,0.5,Dandenong,50,2.001375261,0.493243754,49.32437542
90004058,2,1,0.5,Dandenong,50,2.006939021,0.493137763,49.31377626
90004171,3,0,0,Dandenong,0,3.000890283,-0.00884765,-0.884765002
90004289,1,0,0,Dandenong,0,1.008333843,0.004330587,0.433058652
90004406,1,0,0,Dandenong,0,0.999849709,0.009517956,0.951795611
90004790,3,0,0,Dandenong,0,2.992541136,-0.000338173,-0.033817293
90005035,2,1,0.5,Dandenong,50,2.005461296,0.499085109,49.90851092
90005065,1,0,0,Dandenong,0,1.007373473,-0.008985685,-0.898568483
90005204,1,0,0,Dandenong,0,0.993532608,0.009764208,0.976420769
90007275,19,3,0.16,Dandenong,16,18.99096662,0.163094247,16.30942472
90008672,8,0,0,Dandenong,0,8.006402562,-0.005568759,-0.556875883
90012659,1,0,0,Dandenong,0,0.990560629,-0.00039659,-0.03965899
90013900,2,0,0,Dandenong,0,1.997745044,-0.005075752,-0.507575195
90015608,6,1,0.17,Dandenong,17,5.995377969,0.165381666,16.53816658
90015746,1,0,0,Dandenong,0,0.99405727,-0.001958578,-0.195857753
90016143,6,1,0.17,Dandenong,17,6.004191904,0.171955839,17.19558392
90017559,2,0,0,Dandenong,0,2.006771601,0.000976907,0.097690697
90018083,3,1,0.33,Dandenong,33,3.009739636,0.334980905,33.49809047
90020817,8,2,0.25,Dandenong,25,7.992713273,0.257232216,25.72322157
90021003,4,0,0,Dandenong,0,3.994775865,0.002160006,0.216000573
90022335,1,0,0,Dandenong,0,1.006739315,-0.00066878,-0.066877998
90023171,1,0,0,Dandenong,0,0.994995548,-0.006916195,-0.691619495
90024223,9,2,0.22,Dandenong,22,8.997278325,0.220904703,22.09047027
90025465,1,0,0,Dandenong,0,1.007216179,-0.002423638,-0.242363776
90025727,3,0,0,Dandenong,0,2.99691474,0.002103983,0.21039833
90028087,2,0,0,Dandenong,0,2.002586555,-0.001169326,-0.116932643
90028254,6,0,0,Dandenong,0,5.994106035,-0.006043642,-0.604364151
90029255,7,1,0.14,Dandenong,14,7.004229471,0.142266312,14.22663122
90029388,3,1,0.33,Dandenong,33,2.993002851,0.330685143,33.06851429
