Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90000541,3,MMC- Clayton,0,0,2.995639555,0.003480694
90000821,2,MMC- Clayton,0,0,1.998592038,0.004425565
90001224,58,MMC- Clayton,0,0,57.99821082,0.000371526
90002178,16,MMC- Clayton,0,0,16.00014448,0.004717686
90002776,5,MMC- Clayton,0,0,4.998357149,-0.004810521
90003225,14,MMC- Clayton,0,0,13.99610878,-0.004672633
90003263,1,MMC- Clayton,0,0,0.995673406,-0.004370741
90003332,2,MMC- Clayton,0,0,1.999385103,-0.003506861
90003338,1,MMC- Clayton,0,0,0.997421215,-0.004701683
90003440,2,MMC- Clayton,0,0,1.995081105,-0.004585471
90003510,2,MMC- Clayton,0,0,1.995567353,0.004854973
90003645,6,MMC- Clayton,0,0,5.996015281,0.001613785
90003671,5,MMC- Clayton,0,0,4.998825345,-0.00141576
90003721,4,MMC- Clayton,0,0,4.000531862,-0.004815788
90003723,6,MMC- Clayton,1,16,5.995221437,16.00383334
90003827,8,MMC- Clayton,0,0,7.99813003,-0.00053609
90003932,2,MMC- Clayton,0,0,2.002915236,0.001974344
90004008,7,MMC- Clayton,0,0,7.000576077,0.000299158
90004171,2,MMC- Clayton,0,0,2.004199739,-0.003810769
90004253,1,MMC- Clayton,0,0,1.002826679,7.92653E-05
90004301,17,MMC- Clayton,0,0,17.00270497,0.003100528
90004467,2,MMC- Clayton,0,0,2.000913217,-0.004101977
90004510,2,MMC- Clayton,0,0,2.002824626,-0.003405795
90004546,10,MMC- Clayton,0,0,10.0004273,-0.004004604
90004585,2,MMC- Clayton,0,0,1.998568112,0.002145992
90004628,11,MMC- Clayton,0,0,11.00208054,-0.004341331
90004632,1,MMC- Clayton,0,0,0.995852085,-0.002678576
90004798,5,MMC- Clayton,0,0,4.996309556,-0.000640978
90004811,4,MMC- Clayton,0,0,4.004929701,0.002307887
90004881,1,MMC- Clayton,0,0,1.002938446,0.004866018
90004900,2,MMC- Clayton,0,0,1.999275209,0.001540041
90004908,2,MMC- Clayton,1,50,2.002866677,49.99917017
90005005,9,MMC- Clayton,0,0,8.996223981,-0.000849564
90005132,2,MMC- Clayton,0,0,1.997005694,-0.000552334
90005187,3,MMC- Clayton,1,33,3.001589614,33.00255284
90005201,10,MMC- Clayton,0,0,9.999057499,0.001992367
90005205,1,MMC- Clayton,0,0,0.998772951,0.000877851
90005292,1,MMC- Clayton,0,0,1.002312531,-0.002159069
90005313,2,MMC- Clayton,0,0,1.996904827,0.003634934
90005703,20,MMC- Clayton,0,0,19.99916288,-0.000766052
90006510,6,MMC- Clayton,0,0,6.001544914,-0.002413779
90007275,10,MMC- Clayton,0,0,10.0023077,-0.003519144
90008396,10,MMC- Clayton,0,0,10.00443395,-0.003244602
90009738,21,MMC- Clayton,0,0,20.99706473,-0.003768787
90009881,22,MMC- Clayton,0,0,22.00096072,-0.004036464
90010158,22,MMC- Clayton,0,0,22.00237999,-0.000904728
90010538,2,MMC- Clayton,0,0,2.00098094,-0.000281615
90010636,31,MMC- Clayton,0,0,31.00477999,-0.000146389
90010720,2,MMC- Clayton,0,0,2.002819737,0.001637898
90012203,5,MMC- Clayton,0,0,5.003950146,-0.002738953
90013598,4,MMC- Clayton,0,0,3.996734996,-0.002172781
90013837,44,MMC- Clayton,0,0,43.99513241,0.003760791
90014525,2,MMC- Clayton,0,0,1.998617185,0.004815339
90014902,43,MMC- Clayton,1,2,42.99511867,2.000443873
90015608,33,MMC- Clayton,0,0,32.99558894,-0.001283005
90015901,5,MMC- Clayton,0,0,4.997444021,0.004439995
90016143,1,MMC- Clayton,0,0,1.002704114,0.003034056
90018068,2,MMC- Clayton,0,0,2.001048281,-0.001478877
90018863,23,MMC- Clayton,0,0,23.00374481,0.001881227
90019764,5,MMC- Clayton,0,0,4.997552973,-0.001932238
90020817,3,MMC- Clayton,0,0,3.000805687,-0.004320276
90020953,1,MMC- Clayton,0,0,1.001365862,-0.003993424
90022682,11,MMC- Clayton,0,0,10.99629282,-0.003018957
90023171,47,MMC- Clayton,0,0,46.99629241,-0.004835441
90024040,22,MMC- Clayton,0,0,22.00200546,-0.003213051
90024223,7,MMC- Clayton,0,0,6.997069669,0.003545561
90024320,25,MMC- Clayton,0,0,24.99983567,-0.002849531
90025896,1,MMC- Clayton,0,0,1.00323971,0.000101319
90026166,55,MMC- Clayton,0,0,55.00136116,-0.003104053
90028082,3,MMC- Clayton,0,0,2.999339898,-0.002445125
90028087,6,MMC- Clayton,0,0,6.00334307,-0.004020312
90028254,34,MMC- Clayton,2,5,34.00254245,5.000122723
90030535,35,MMC- Clayton,0,0,34.99719386,-0.001968962
90031199,2,MMC- Clayton,0,0,1.99895954,0.00203424
90031311,7,MMC- Clayton,0,0,6.997606993,0.003073713
90031341,26,MMC- Clayton,0,0,26.00450967,-0.004313882
90032705,7,MMC- Clayton,0,0,6.9994369,0.004157367
90032929,17,MMC- Clayton,0,0,16.99762299,0.001483747
90033661,19,MMC- Clayton,0,0,19.00253156,0.004570311
90033774,66,MMC- Clayton,1,1,65.9975233,1.002304896
90033803,46,MMC- Clayton,0,0,46.00420169,0.002626554
90034135,9,MMC- Clayton,0,0,9.004088657,0.000402267
90036294,2,MMC- Clayton,0,0,1.997127356,0.00415309
90036519,5,MMC- Clayton,0,0,4.997909083,0.003658399
90037802,8,MMC- Clayton,0,0,8.001611715,0.003043804
90037995,3,MMC- Clayton,0,0,3.000721356,0.002776123
90040004,19,MMC- Clayton,0,0,18.99776796,-0.0032328
90040371,4,MMC- Clayton,0,0,4.000033398,-2.73004E-05
90043227,15,MMC- Clayton,0,0,15.00061886,-0.004972197
90043338,26,MMC- Clayton,0,0,26.00253953,0.004163158
90043858,4,MMC- Clayton,0,0,3.995491259,-0.003059004
90044101,5,MMC- Clayton,0,0,5.000476933,-0.002151874
90044868,1,MMC- Clayton,0,0,0.996697474,0.001942906
90045378,17,MMC- Clayton,0,0,16.99866712,-0.001422089
90047064,1,MMC- Clayton,0,0,0.999852603,0.001495169
90048747,21,MMC- Clayton,0,0,21.00462925,-0.004547996
90049430,5,MMC- Clayton,0,0,5.000433994,-0.002967171
90051275,11,MMC- Clayton,0,0,11.00345233,0.004920925
90051548,16,MMC- Clayton,1,6,15.99833033,5.997074314
90052261,15,MMC- Clayton,0,0,15.00362876,-0.004741365
90052270,33,MMC- Clayton,0,0,32.99564994,-0.001044185
90052734,2,MMC- Clayton,0,0,1.99876111,0.000907527
90052916,13,MMC- Clayton,0,0,12.99899215,0.000319351
90053418,2,MMC- Clayton,0,0,1.999693587,0.001740643
90053753,13,MMC- Clayton,0,0,12.99688483,-0.001347423
90056255,11,MMC- Clayton,0,0,11.0033994,-0.00099948
90057250,1,MMC- Clayton,0,0,0.998894686,-0.00139069
90057415,3,MMC- Clayton,0,0,3.004469403,-0.003164269
90058180,4,MMC- Clayton,0,0,3.997226394,0.000884118
90058333,6,MMC- Clayton,0,0,6.002907589,-0.001601522
90059331,7,MMC- Clayton,0,0,7.003335073,-0.004330959
90059584,34,MMC- Clayton,2,5,33.99947547,4.997138112
90059876,1,MMC- Clayton,0,0,1.003436566,-0.004087874
90060546,4,MMC- Clayton,0,0,3.998249979,0.003170478
90060945,1,MMC- Clayton,0,0,1.001994377,-0.002512294
90060950,29,MMC- Clayton,2,6,29.00163043,6.00195083
90061220,15,MMC- Clayton,0,0,15.00080485,-0.003799285
90062205,68,MMC- Clayton,0,0,67.99545908,0.003101677
90066524,42,MMC- Clayton,0,0,41.99960556,-0.003481609
90067536,5,MMC- Clayton,0,0,4.999873032,0.002455644
90070093,52,MMC- Clayton,1,1,51.99951962,0.999578335
90071676,3,MMC- Clayton,0,0,3.001820315,0.002470138
90071914,1,MMC- Clayton,0,0,1.002188301,-0.003587408
90072373,37,MMC- Clayton,3,8,37.00440005,8.001792704
90074642,16,MMC- Clayton,0,0,16.00078524,-0.000395276
90075008,48,MMC- Clayton,0,0,47.99506382,-0.002802957
90075334,27,MMC- Clayton,0,0,26.9995445,0.000721764
90075767,3,MMC- Clayton,0,0,3.004737428,0.001298654
