Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90000541,3,MMC- Clayton,0,0,2.997238158,-0.001879179
90000821,2,MMC- Clayton,1,50,2.00086213,50.00345285
90001224,58,MMC- Clayton,1,1,57.99936952,1.001831865
90002178,16,MMC- Clayton,1,6,15.99586615,6.003030232
90002776,5,MMC- Clayton,0,0,4.997829027,0.004388334
90003225,14,MMC- Clayton,2,14,13.99570968,14.00315063
90003263,1,MMC- Clayton,0,0,1.003588097,-0.00203206
90003332,2,MMC- Clayton,0,0,2.003065371,0.004435322
90003338,1,MMC- Clayton,0,0,0.998235864,-0.000154087
90003440,2,MMC- Clayton,0,0,1.998678044,-0.00086961
90003510,2,MMC- Clayton,0,0,2.00134576,-0.001458968
90003645,6,MMC- Clayton,1,16,6.003968097,15.9994348
90003671,5,MMC- Clayton,1,20,4.999364638,20.00204243
90003721,4,MMC- Clayton,0,0,3.996242332,-0.002138406
90003723,6,MMC- Clayton,1,16,6.001718453,15.99993725
90003827,8,MMC- Clayton,1,12,8.002851351,12.00261513
90003932,2,MMC- Clayton,0,0,1.995566873,-0.001594951
90004008,7,MMC- Clayton,0,0,6.9960401,-0.004461769
90004171,2,MMC- Clayton,0,0,2.002386514,-0.003015743
90004253,1,MMC- Clayton,0,0,1.004941306,0.000400872
90004301,17,MMC- Clayton,0,0,17.00092876,0.004613338
90004467,2,MMC- Clayton,0,0,1.995275874,0.001816765
90004510,2,MMC- Clayton,0,0,1.99601287,-0.003216479
90004546,10,MMC- Clayton,1,10,10.00205705,9.995956334
90004585,2,MMC- Clayton,0,0,2.001081781,-0.00411321
90004628,11,MMC- Clayton,2,18,10.99583242,17.99590399
90004632,1,MMC- Clayton,0,0,0.996395832,-0.003314856
90004798,5,MMC- Clayton,0,0,5.004444068,-0.000759658
90004811,4,MMC- Clayton,1,25,4.002377161,25.00352148
90004881,1,MMC- Clayton,0,0,0.996568907,-0.004751601
90004900,2,MMC- Clayton,0,0,1.996255794,-0.002937884
90004908,2,MMC- Clayton,0,0,2.003174188,0.002834514
90005005,9,MMC- Clayton,1,11,9.002651655,11.00166456
90005132,2,MMC- Clayton,1,50,1.998151714,49.99576004
90005187,3,MMC- Clayton,0,0,2.9980574,-0.001820115
90005201,10,MMC- Clayton,1,10,10.00473266,9.998996355
90005205,1,MMC- Clayton,0,0,0.999252403,0.003515426
90005292,1,MMC- Clayton,0,0,1.00435005,0.002727641
90005313,2,MMC- Clayton,0,0,1.995241115,0.001069516
90005703,20,MMC- Clayton,1,5,19.99902317,4.996095288
90006510,6,MMC- Clayton,1,16,6.004840983,16.00335839
90007275,10,MMC- Clayton,0,0,9.997755171,0.001844029
90008396,10,MMC- Clayton,0,0,10.00412127,-0.000124032
90009738,21,MMC- Clayton,4,19,20.99930665,18.99819638
90009881,22,MMC- Clayton,2,9,21.9964953,8.995674534
90010158,22,MMC- Clayton,3,13,22.00270125,12.99591673
90010538,2,MMC- Clayton,0,0,1.996084874,0.003966217
90010636,31,MMC- Clayton,1,3,30.99585616,3.004218954
90010720,2,MMC- Clayton,0,0,2.00023945,-0.003994174
