Treating.Clinician,Number_of_patient_Seen,Number_of_patient_Seen_with_ondansetron,ondansetron_proportion
90000541,3,0,0%
90000821,2,0,0%
90001224,58,0,0%
90002178,16,0,0%
90002776,5,0,0%
90003225,14,0,0%
90003263,1,0,0%
90003332,2,0,0%
90003338,1,0,0%
90003440,2,0,0%
90003510,2,0,0%
90003645,6,0,0%
90003671,5,0,0%
90003721,4,0,0%
90003723,6,0,0%
90003827,8,0,0%
90003932,2,0,0%
90004008,7,0,0%
90004171,2,0,0%
90004253,1,0,0%
90004301,17,0,0%
90004467,2,0,0%
90004510,2,0,0%
90004546,10,0,0%
90004585,2,0,0%
90004628,11,0,0%
90004632,1,0,0%
90004798,5,0,0%
90004811,4,0,0%
90004881,1,0,0%
90004900,2,0,0%
90004908,2,0,0%
90005005,9,0,0%
90005132,2,0,0%
90005187,3,0,0%
90005201,10,0,0%
90005205,1,0,0%
90005292,1,0,0%
90005313,2,0,0%
90005703,20,0,0%
90006510,6,0,0%
90007275,10,0,0%
90008396,10,0,0%
90009738,21,0,0%
90009881,22,0,0%
90010158,22,0,0%
90010538,2,0,0%
90010636,31,0,0%
90010720,2,0,0%
90012203,5,0,0%
90013598,4,0,0%
90013837,44,0,0%
90014525,2,0,0%
90014902,43,2,5%
90015608,33,0,0%
90015901,5,0,0%
90016143,1,0,0%
90018068,2,0,0%
90018863,23,0,0%
90019764,5,0,0%
90020817,3,0,0%
90020953,1,0,0%
90022682,11,0,0%
90023171,47,0,0%
90024040,22,0,0%
90024223,7,0,0%
90024320,25,0,0%
90025896,1,0,0%
90026166,55,0,0%
90028082,3,0,0%
90028087,6,0,0%
90028254,34,0,0%
90030535,35,0,0%
90031199,2,0,0%
90031311,7,0,0%
90031341,26,0,0%
90032705,7,0,0%
90032929,17,0,0%
90033661,19,2,11%
90033774,66,0,0%
90033803,46,5,11%
90034135,9,0,0%
90036294,2,0,0%
90036519,5,1,20%
90037802,8,0,0%
90037995,3,0,0%
90040004,19,0,0%
90040371,4,0,0%
90043227,15,1,7%
90043338,26,0,0%
90043858,4,0,0%
90044101,5,0,0%
90044868,1,0,0%
90045378,17,0,0%
90047064,1,0,0%
90048747,21,0,0%
90049430,5,0,0%
90051275,11,1,9%
90051548,16,0,0%
90052261,15,0,0%
90052270,33,2,6%
90052734,2,0,0%
90052916,13,0,0%
90053418,2,0,0%
90053753,13,0,0%
90056255,11,0,0%
90057250,1,0,0%
90057415,3,0,0%
90058180,4,0,0%
90058333,6,0,0%
90059331,7,0,0%
90059584,34,1,3%
90059876,1,0,0%
90060546,4,0,0%
90060945,1,0,0%
90060950,29,1,3%
90061220,15,0,0%
90062205,68,0,0%
90066524,42,0,0%
90067536,5,0,0%
90070093,52,1,2%
90071676,3,0,0%
90071914,1,0,0%
90072373,37,1,3%
90074642,16,0,0%
90075008,48,0,0%
90075334,27,0,0%
90075767,3,0,0%
90075796,4,0,0%
90076693,11,0,0%
90076797,18,0,0%
90077401,40,2,5%
90077920,5,0,0%
90078071,32,0,0%
90078705,51,0,0%
90078787,4,0,0%
90078814,7,0,0%
90079546,26,0,0%
90080314,3,0,0%
90080745,17,0,0%
90081325,51,0,0%
90081556,11,0,0%
90081588,2,0,0%
90081957,20,1,5%
90082317,15,0,0%
90082515,7,0,0%
90082606,3,0,0%
90082724,8,0,0%
90083027,19,0,0%
90083266,38,0,0%
90085043,3,0,0%
90085898,23,0,0%
90086088,4,0,0%
90086232,5,0,0%
90088695,3,0,0%
90091034,2,0,0%
90093120,18,0,0%
90093190,15,0,0%
90093516,6,0,0%
90094126,22,1,5%
90094427,39,0,0%
90096616,14,0,0%
90096638,7,0,0%
90097777,2,0,0%
90097823,13,0,0%
90098181,38,0,0%
90098744,39,0,0%
90098792,6,0,0%
90099597,1,0,0%
90099752,26,0,0%
90100582,26,0,0%
90101121,3,0,0%
90101122,14,0,0%
90101274,55,0,0%
90102464,1,0,0%
90102876,27,1,4%
90103211,1,0,0%
90103318,5,0,0%
90104966,2,0,0%
90104983,8,0,0%
90107514,29,0,0%
90108333,14,0,0%
90108552,4,0,0%
90109179,6,0,0%
90110663,2,0,0%
90111104,1,0,0%
90111201,11,0,0%
90111262,1,0,0%
90111349,1,0,0%
90111526,2,0,0%
90111844,10,0,0%
90112537,1,0,0%
90113108,14,0,0%
90113497,17,0,0%
90114450,5,0,0%
90115768,4,0,0%
90116410,17,0,0%
90117588,13,0,0%
90117635,1,0,0%
90118416,14,1,7%
90119011,1,0,0%
90119285,20,1,5%
90119577,96,1,1%
90119823,20,0,0%
90119848,6,0,0%
90119859,3,0,0%
90119860,4,0,0%
90119901,11,0,0%
90119988,8,0,0%
90121871,10,1,10%
90122677,49,0,0%
90123243,1,0,0%
90123249,15,0,0%
90123309,3,0,0%
90123339,26,0,0%
90124438,48,1,2%
90124446,10,2,20%
90124447,14,1,7%
90124476,24,0,0%
90124487,3,0,0%
90124491,3,0,0%
90124492,3,0,0%
90124502,2,0,0%
90124505,21,0,0%
90124517,4,0,0%
90124523,15,0,0%
90124524,33,0,0%
90124526,41,0,0%
90124543,4,1,25%
90124546,5,0,0%
90124556,16,0,0%
90124561,16,0,0%
90124563,5,0,0%
90124566,8,0,0%
90124581,2,0,0%
90124585,15,0,0%
90124609,63,0,0%
90124617,6,1,17%
90124621,37,0,0%
90124633,5,0,0%
90124637,6,1,17%
90124682,8,0,0%
90124698,14,0,0%
90124937,7,0,0%
90124938,3,0,0%
90127264,4,0,0%
90127293,13,0,0%
90127352,2,0,0%
90127356,22,0,0%
90127515,22,0,0%
90132178,3,0,0%
90136195,4,0,0%
90136674,6,1,17%
