Treating.Clinician,Hospital,total,target,percentage,jitter_total,jitter_target,jitter_percentage
90000541,Casey,3,1,33,3.003504779,1.022392291,32.99766284
90000541,MMC- Clayton,2,0,0,2.008002932,0.067758543,0.025770653
90000926,Casey,3,0,0,3.004611873,0.058914267,0.00369382
90000999,Casey,1,0,0,1.007198666,0.089289,0.023997199
90001224,MMC- Clayton,28,0,0,28.00192484,0.039212858,0.051204175
90001660,Casey,2,0,0,2.009309239,0.077029107,0.044589171
90002178,MMC- Clayton,1,0,0,1.006078409,0.094829615,0.005141416
90002772,Dandenong,6,0,0,6.00842779,-0.000384744,0.036444199
90002776,Casey,7,0,0,7.00117002,0.067324206,0.014590673
90002776,MMC- Clayton,2,0,0,2.001500738,-0.000932981,0.023507715
90003149,Casey,2,0,0,2.000424108,0.064406235,0.008898457
90003195,Casey,2,0,0,2.001506815,0.05915875,0.075554055
90003244,Casey,4,0,0,4.002365036,0.040022006,0.05256618
90003263,MMC- Clayton,1,0,0,0.999729817,0.079904974,0.093216244
90003309,Casey,1,0,0,1.006965314,0.089443296,0.075861014
90003338,MMC- Clayton,1,0,0,1.002875875,0.054993398,0.07315379
90003440,MMC- Clayton,2,0,0,2.006282715,0.042768436,0.019227478
90003645,MMC- Clayton,4,0,0,3.999799827,0.070703476,0.010326141
90003721,MMC- Clayton,4,0,0,4.000097073,0.07685449,0.053539765
90003723,MMC- Clayton,1,1,100,1.001365342,1.044384912,100.0015922
90003827,MMC- Clayton,4,0,0,4.001723043,0.004894223,0.059633969
90003932,MMC- Clayton,1,0,0,1.002278933,0.059812342,0.074081126
90003943,Dandenong,2,0,0,2.003523626,0.040022673,0.077758471
90004008,MMC- Clayton,2,0,0,2.007065282,-0.003659248,0.009946396
90004171,MMC- Clayton,2,0,0,2.004507674,0.032275578,0.020491724
90004178,Casey,1,0,0,1.001180985,0.045348734,0.006862576
90004253,MMC- Clayton,1,0,0,1.007476503,0.077742931,0.040560552
90004289,Dandenong,1,0,0,1.003467673,0.065423834,0.070408766
90004510,MMC- Clayton,1,0,0,1.008996197,0.008331814,0.004309717
90004628,MMC- Clayton,2,0,0,2.008104293,0.003869889,0.094837742
90004908,MMC- Clayton,1,1,100,1.000320665,1.078001228,100.0336426
90005005,MMC- Clayton,5,0,0,5.008369419,-0.001693456,-0.003764776
90005028,Casey,1,0,0,1.00826708,0.044730207,0.014969242
90005035,Dandenong,2,0,0,2.002795536,0.020076666,0.047484632
90005109,Casey,5,0,0,5.004490697,0.085139109,0.048797129
90005353,Casey,1,0,0,1.000202293,0.007639576,0.02894749
90005369,Casey,7,0,0,7.006066035,0.05879499,0.05749269
90005703,MMC- Clayton,1,0,0,1.004494755,0.003565168,0.036274612
90006510,MMC- Clayton,3,0,0,3.009039084,0.056682225,0.008929874
90007275,Casey,4,1,25,4.003374216,1.035279994,25.03863451
90007275,Dandenong,9,1,11,9.006254378,1.043274906,11.06028345
90007788,Casey,1,0,0,1.003034762,0.080343357,0.078811253
90008018,Casey,9,0,0,9.005027129,0.046286559,0.043508442
90008396,MMC- Clayton,10,0,0,10.0065625,0.01338172,0.058479098
90008672,Dandenong,8,0,0,8.006201088,0.005379468,0.004165172
90009738,MMC- Clayton,5,0,0,5.006943477,0.026863701,0.092395187
90010158,MMC- Clayton,8,0,0,8.008834829,0.032571636,0.005005875
90010636,MMC- Clayton,22,0,0,22.00407186,0.033014085,0.074543524
90010720,MMC- Clayton,2,0,0,2.009412983,0.084150876,0.010410039
90011578,Casey,15,0,0,15.00709339,0.033955643,0.017225559
90013598,MMC- Clayton,2,0,0,2.008047264,0.081938959,-0.002171155
90013837,MMC- Clayton,28,0,0,28.00152527,0.061462526,0.010775225
90013900,Casey,5,0,0,5.008133986,0.011306263,0.005963814
90013900,Dandenong,1,0,0,1.002074408,0.016889086,0.067222881
90014727,Casey,2,0,0,2.003044096,0.082022614,0.056446811
90014902,MMC- Clayton,20,1,5,20.00358935,1.075566156,5.036873033
90015608,Casey,1,0,0,1.002119078,0.003454217,0.040667311
90015608,Dandenong,6,0,0,6.003534419,0.093937282,0.001472484
90015608,MMC- Clayton,20,0,0,20.00660288,0.067993719,0.090237195
90015746,Dandenong,1,0,0,1.001539451,0.005827803,0.084323121
90015901,MMC- Clayton,2,0,0,2.008135077,0.020530297,0.052710336
90016143,Dandenong,1,0,0,1.003174702,0.050942196,0.02720967
90018068,Casey,5,1,20,5.00018905,1.058384041,20.06123485
90018068,MMC- Clayton,2,0,0,1.999918233,0.070492037,0.082334967
90018863,Casey,13,0,0,13.00725984,0.088647094,0.012002769
90018863,MMC- Clayton,4,0,0,4.003886884,0.045878803,0.01021961
90019764,MMC- Clayton,5,0,0,5.008009634,0.024222803,0.081385648
90020817,Dandenong,8,0,0,8.00276838,0.057770556,0.039139777
90020817,MMC- Clayton,3,0,0,3.001913983,0.053083576,0.025266831
90021003,Dandenong,4,0,0,4.000833565,0.028890836,-0.002225735
90022682,MMC- Clayton,3,0,0,2.999512008,0.001426581,0.055829162
90023171,MMC- Clayton,19,0,0,19.00615381,0.085908923,0.002155018
90024040,MMC- Clayton,14,0,0,14.00245822,0.006112977,0.061083456
90024223,Casey,4,0,0,3.999788959,0.069643248,0.005693979
90024223,Dandenong,1,0,0,1.004005865,0.069379477,0.041227666
90024223,MMC- Clayton,4,0,0,4.00808324,0.044063626,0.040672235
90024320,MMC- Clayton,15,0,0,14.99968783,0.08056304,0.061807044
90024716,Casey,1,0,0,1.004253812,0.03635762,0.020594632
90025727,Dandenong,3,1,33,3.003377982,1.073477949,33.07235509
90026166,MMC- Clayton,38,0,0,38.00851686,0.092973108,0.081322718
90027194,Casey,1,0,0,1.00820363,0.01224936,0.08685184
90028087,Casey,1,0,0,1.007578889,0.090208883,0.033481751
90028254,Dandenong,6,0,0,6.002893124,0.042711897,0.041460633
90028254,MMC- Clayton,21,2,9,21.00221449,2.076295716,9.076476729
90029255,Casey,1,0,0,1.000196945,0.059693152,0.088584977
90029255,Dandenong,7,0,0,7.006121851,0.030391792,0.083167494
90029388,Dandenong,3,0,0,2.99991922,0.074815665,0.049811192
90030535,MMC- Clayton,12,0,0,12.00257642,0.010375847,0.069424369
90031199,Casey,3,0,0,3.00388583,0.033884085,-0.003479699
90031311,MMC- Clayton,4,0,0,4.00296511,0.063809258,0.068409162
90031341,MMC- Clayton,4,0,0,3.999502662,0.035329673,0.067862323
90032676,Casey,6,1,16,6.005252891,1.066950824,16.04037328
90032705,MMC- Clayton,2,0,0,2.007416307,0.002880144,0.061566691
90032929,MMC- Clayton,5,0,0,5.009304623,0.072431616,0.035248137
90033661,Casey,3,0,0,3.002195724,0.002968489,0.019766765
90033661,Dandenong,4,0,0,4.005826981,0.023128352,0.035549946
90033661,MMC- Clayton,15,0,0,15.00826864,0.01566518,0.006257611
90033774,Dandenong,3,0,0,3.008892095,0.074542541,0.079429801
90033774,MMC- Clayton,26,0,0,26.00836329,0.016849422,0.002740659
90033803,MMC- Clayton,9,0,0,9.00428729,0.072657079,0.019676139
90034135,MMC- Clayton,6,0,0,6.000787027,0.05372704,0.021184684
90034329,Dandenong,2,0,0,2.005967247,0.000951676,0.031358127
90034785,Casey,7,0,0,7.009122414,0.03095476,0.048787804
90034958,Casey,1,0,0,1.005200481,0.05239851,0.013828359
90035140,Casey,1,0,0,1.00070197,0.017985935,0.068315452
90035880,Dandenong,1,0,0,1.007977242,0.064679951,0.069776477
90036519,MMC- Clayton,1,0,0,1.007766881,0.014471442,0.026991391
90037802,MMC- Clayton,4,0,0,4.005872315,0.037730851,0.073406625
90037850,Dandenong,2,0,0,2.001735137,0.033208574,0.03689417
90038386,Casey,5,1,20,5.006057568,1.091188667,20.02495219
90039000,Casey,7,0,0,7.008936509,0.066271765,0.02165571
90039000,Dandenong,2,0,0,2.007742446,0.047769636,0.035787544
90039551,Casey,9,1,11,9.002791112,1.046380889,11.05686616
90039551,Dandenong,1,0,0,1.000022233,0.069819708,0.049715558
90039776,Casey,2,0,0,2.006380942,0.012706455,0.040311022
90040184,Dandenong,1,0,0,1.003354399,0.014175997,0.078128551
90040371,MMC- Clayton,3,0,0,3.002081545,0.084752568,0.084512408
90040773,Dandenong,4,1,25,4.006626726,1.013658424,25.06567329
90040881,Casey,6,0,0,6.005779611,0.026891649,0.038667377
90041374,Casey,1,0,0,1.00460814,0.012395093,0.076887322
90043227,MMC- Clayton,8,0,0,8.005195033,0.073173761,0.038838371
90043338,MMC- Clayton,8,0,0,8.001363441,0.005673992,0.091414803
90043759,Casey,6,0,0,6.001912324,0.022530097,0.023346303
90043890,Dandenong,1,0,0,1.009440813,0.055560466,0.044051749
90044135,Casey,14,2,14,14.00562672,2.087953172,14.09227105
90044868,Casey,8,0,0,8.009301536,0.078421508,0.011564305
90044868,Dandenong,2,0,0,2.004526362,0.038074169,0.028145495
90045378,MMC- Clayton,2,0,0,2.000487225,0.057700286,0.043126557
90046308,Casey,10,2,20,10.00364495,2.022082842,20.07511375
90046416,Casey,9,0,0,9.008622028,0.016155598,0.061983494
90047010,Dandenong,1,0,0,1.00948106,0.085713355,0.031453409
90047064,MMC- Clayton,1,0,0,1.002218584,0.02928439,0.043682941
90047604,Casey,2,0,0,2.00647709,0.009664857,-0.001043702
90047937,Dandenong,1,0,0,1.003083548,0.053984568,0.005894428
90048709,Casey,4,1,25,4.001061385,1.010588373,25.07009308
90048747,MMC- Clayton,3,0,0,3.003742468,0.08886631,0.046687338
90049188,Dandenong,8,1,12,7.999732611,1.070467338,12.04572842
90051139,Dandenong,9,1,11,9.001194619,1.054042797,11.01451973
90051548,MMC- Clayton,8,1,12,8.005171134,1.068409981,12.06227893
90052261,MMC- Clayton,4,0,0,4.004490834,0.059730631,0.028806758
90052270,MMC- Clayton,15,0,0,15.00173297,0.045469519,0.004809916
90052753,Casey,2,0,0,1.999703204,-0.003342907,0.072524314
90052916,Dandenong,9,0,0,9.001476863,0.091792019,0.037801741
90052916,MMC- Clayton,6,0,0,6.000613208,0.053655728,0.03800717
90053104,Dandenong,3,1,33,3.002461515,1.031661261,33.00270016
90053409,Casey,9,0,0,9.002258463,0.019709466,0.002883389
90053418,Casey,1,0,0,1.008698868,0.040160847,0.033767466
90053418,Dandenong,1,0,0,1.002245713,0.04118178,0.092271038
90053715,Casey,8,0,0,8.0044249,0.048688406,0.067944539
90053753,MMC- Clayton,2,0,0,2.009352641,0.012458445,0.011748084
90054690,Casey,6,0,0,6.008123543,0.035816274,0.006589551
