Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_target,jitter_percentage
90000541,2,MMC- Clayton,0,0,2.00282581,-0.000332062,-0.001892534
90001224,28,MMC- Clayton,1,3,28.00308892,1.003413638,2.996267686
90002178,1,MMC- Clayton,0,0,0.99683359,-0.000170425,-0.003370837
90002776,2,MMC- Clayton,0,0,1.99516264,-0.001464595,0.004692589
90003263,1,MMC- Clayton,0,0,1.001304456,0.001534747,0.001064426
90003338,1,MMC- Clayton,0,0,0.999779923,0.003725403,0.002425481
90003440,2,MMC- Clayton,0,0,2.001765737,0.001088983,0.00250616
90003645,4,MMC- Clayton,1,25,3.997330765,1.002543745,24.99971234
90003721,4,MMC- Clayton,0,0,4.004167475,-0.002205543,0.001394866
90003723,1,MMC- Clayton,0,0,1.003358872,0.004231047,0.004418697
90003827,4,MMC- Clayton,1,25,4.00267516,1.003796561,24.99568703
90003932,1,MMC- Clayton,0,0,1.001253324,0.000103557,-0.002814156
90004008,2,MMC- Clayton,0,0,1.995328606,0.003990995,0.000850377
90004171,2,MMC- Clayton,0,0,2.001352266,-0.004409856,0.003983137
90004253,1,MMC- Clayton,0,0,1.003060325,-0.002912512,0.00191295
90004510,1,MMC- Clayton,0,0,0.996313181,0.000927099,0.003020149
90004628,2,MMC- Clayton,0,0,1.997653486,0.004716416,0.002593285
90004908,1,MMC- Clayton,0,0,0.996345483,0.001850445,-0.002789628
90005005,5,MMC- Clayton,1,20,4.997356304,1.002938012,20.00195256
90005703,1,MMC- Clayton,0,0,0.99765554,0.003557814,-0.002502334
90006510,3,MMC- Clayton,0,0,3.002521485,-0.004775381,0.002531809
90008396,10,MMC- Clayton,0,0,10.00299532,0.003672157,-0.003753872
90009738,5,MMC- Clayton,1,20,5.004215614,1.002269515,20.00198958
90010158,8,MMC- Clayton,1,12,8.002813711,0.995697544,11.99779982
90010636,22,MMC- Clayton,0,0,21.99836873,0.001086195,-0.00172011
90010720,2,MMC- Clayton,0,0,2.002762455,-0.002516698,0.003597573
90013598,2,MMC- Clayton,0,0,2.003660935,-0.002214322,-0.00286332
90013837,28,MMC- Clayton,0,0,27.99932077,0.004086162,-0.00136008
90014902,20,MMC- Clayton,2,10,20.00416249,2.003842544,10.0002315
90015608,20,MMC- Clayton,0,0,20.00116189,0.001484515,-0.00467879
90015901,2,MMC- Clayton,0,0,1.998108934,-0.003034783,0.003746049
90018068,2,MMC- Clayton,0,0,2.002132335,-0.003156986,0.003706679
90018863,4,MMC- Clayton,0,0,4.002490317,0.000438575,0.00303142
90019764,5,MMC- Clayton,0,0,4.996924923,0.000783384,0.004208952
90020817,3,MMC- Clayton,0,0,2.995792496,0.003415809,0.000554151
90022682,3,MMC- Clayton,0,0,2.996006687,0.001952965,-0.002337044
90023171,19,MMC- Clayton,1,5,18.99608482,0.996928132,5.004406973
90024040,14,MMC- Clayton,1,7,14.0016841,1.0049346,6.998360387
90024223,4,MMC- Clayton,0,0,4.003024827,0.003271353,0.003275909
90024320,15,MMC- Clayton,1,6,14.99714491,0.997696227,6.00448624
90026166,38,MMC- Clayton,2,5,38.00175623,1.997917747,4.995099977
90028254,21,MMC- Clayton,0,0,21.00062676,0.001560947,-0.001912653
90030535,12,MMC- Clayton,0,0,12.00027656,-0.001180981,-0.004435438
90031311,4,MMC- Clayton,0,0,4.001181404,-0.00404675,0.004812477
90031341,4,MMC- Clayton,0,0,3.999627381,0.000485124,0.003600887
90032705,2,MMC- Clayton,0,0,1.99680662,0.003574053,0.004722353
90032929,5,MMC- Clayton,0,0,4.99528222,-0.002888629,-8.97752E-05
90033661,15,MMC- Clayton,0,0,14.99728919,-0.003051585,0.002512864
90033774,26,MMC- Clayton,1,3,25.99780188,1.004571394,3.002295756
90033803,9,MMC- Clayton,1,11,8.999695065,0.996755032,10.99901911
90034135,6,MMC- Clayton,0,0,5.998567078,0.002673714,0.003911714
90036519,1,MMC- Clayton,0,0,0.998812336,0.002743982,-0.000644855
90037802,4,MMC- Clayton,0,0,4.000565788,0.004538706,-0.000690237
90040371,3,MMC- Clayton,0,0,2.996131966,0.00234591,-0.004405453
90043227,8,MMC- Clayton,0,0,7.996815394,-0.001087292,-0.00019658
90043338,8,MMC- Clayton,0,0,8.00339135,0.003339834,0.001804407
90045378,2,MMC- Clayton,0,0,2.002695173,1.81822E-05,0.004693703
90047064,1,MMC- Clayton,0,0,0.995227741,0.001115846,-0.002691719
90048747,3,MMC- Clayton,0,0,2.995532385,0.002915243,-0.000606184
90051548,8,MMC- Clayton,0,0,8.004394615,0.001019111,0.003378203
90052261,4,MMC- Clayton,0,0,4.00448818,0.000574303,-0.00012386
90052270,15,MMC- Clayton,1,6,15.00095372,0.996833419,6.004574647
90052916,6,MMC- Clayton,1,16,5.999184443,0.998334395,16.0021111
90053753,2,MMC- Clayton,0,0,1.997540063,-0.002510675,-0.003930134
90056255,2,MMC- Clayton,0,0,2.001990378,0.002933054,0.001239387
90057415,2,MMC- Clayton,0,0,1.999649117,-0.002534759,0.002715633
90058180,3,MMC- Clayton,0,0,3.004267809,-0.003263683,0.003069117
90058333,3,MMC- Clayton,0,0,3.003037682,0.000907142,0.00243052
90059584,20,MMC- Clayton,0,0,20.00044095,-0.000196775,0.001597978
90059876,1,MMC- Clayton,0,0,0.998249382,0.000404616,0.002301501
90060546,1,MMC- Clayton,0,0,1.000503033,0.002724412,0.003544343
90060950,7,MMC- Clayton,1,14,7.004547333,0.99973391,13.99886956
90061220,7,MMC- Clayton,0,0,7.001221425,0.000956309,6.64467E-05
90062205,38,MMC- Clayton,1,2,37.99857813,0.996379747,1.997332624
